Entity,Code,Day,Monthly sea surface temperature anomalies,Monthly sea surface temperature anomalies (lower bound),Monthly sea surface temperature anomalies (upper bound)
Northern Hemisphere,,1850-01-15,0.0069779456,-0.08339305,0.065403946
Northern Hemisphere,,1850-02-15,0.019613951,-0.07098605,0.077317946
Northern Hemisphere,,1850-03-15,-0.29203206,-0.37629506,-0.24019505
Northern Hemisphere,,1850-04-15,-0.01788506,-0.09358306,0.026823953
Northern Hemisphere,,1850-05-15,-0.09209405,-0.15214305,-0.05438906
Northern Hemisphere,,1850-06-15,0.12211394,0.06880095,0.16524595
Northern Hemisphere,,1850-07-15,-0.04342605,-0.09832005,0.008798942
Northern Hemisphere,,1850-08-15,-0.080088064,-0.13424705,-0.02264005
Northern Hemisphere,,1850-09-15,-0.11203407,-0.18639506,-0.05853705
Northern Hemisphere,,1850-10-15,-0.16671906,-0.25470808,-0.111763045
Northern Hemisphere,,1850-11-15,0.029279947,-0.062373057,0.08515295
Northern Hemisphere,,1850-12-15,-0.018908054,-0.11017604,0.039276943
Northern Hemisphere,,1851-01-15,0.020042941,-0.07837005,0.086746946
Northern Hemisphere,,1851-02-15,-0.19090806,-0.27684405,-0.13507406
Northern Hemisphere,,1851-03-15,-0.03822805,-0.12316306,0.0134049505
Northern Hemisphere,,1851-04-15,-0.14473106,-0.21930607,-0.10055207
Northern Hemisphere,,1851-05-15,-0.03258206,-0.09376906,0.007879943
Northern Hemisphere,,1851-06-15,0.058937944,0.005799949,0.11019594
Northern Hemisphere,,1851-07-15,-0.015428051,-0.06800605,0.041778952
Northern Hemisphere,,1851-08-15,-0.07186805,-0.12816204,-0.015359059
Northern Hemisphere,,1851-09-15,0.21224895,0.14441395,0.26648095
Northern Hemisphere,,1851-10-15,0.25175294,0.17089295,0.30421495
Northern Hemisphere,,1851-11-15,0.39067993,0.30043793,0.45005494
Northern Hemisphere,,1851-12-15,0.35045394,0.26239693,0.40839094
Northern Hemisphere,,1852-01-15,0.35423493,0.26347095,0.41262695
Northern Hemisphere,,1852-02-15,-0.08303104,-0.16625606,-0.028294057
Northern Hemisphere,,1852-03-15,0.022821948,-0.05299805,0.070662946
Northern Hemisphere,,1852-04-15,-0.007635057,-0.07780205,0.03673394
Northern Hemisphere,,1852-05-15,0.01712595,-0.03974305,0.055408947
Northern Hemisphere,,1852-06-15,0.34308594,0.29595095,0.39093095
Northern Hemisphere,,1852-07-15,0.04560694,-0.0032640547,0.09964295
Northern Hemisphere,,1852-08-15,0.20524395,0.15074895,0.26036295
Northern Hemisphere,,1852-09-15,0.19338995,0.12552595,0.24338494
Northern Hemisphere,,1852-10-15,0.23069994,0.14985594,0.28448394
Northern Hemisphere,,1852-11-15,0.16214095,0.077970944,0.21926194
Northern Hemisphere,,1852-12-15,0.30964994,0.22655195,0.36572695
Northern Hemisphere,,1853-01-15,0.28492495,0.20722994,0.33847493
Northern Hemisphere,,1853-02-15,0.37833795,0.29999495,0.43415692
Northern Hemisphere,,1853-03-15,0.23860595,0.16726495,0.28833795
Northern Hemisphere,,1853-04-15,0.14048494,0.07472595,0.18711394
Northern Hemisphere,,1853-05-15,0.15226294,0.09803095,0.19281894
Northern Hemisphere,,1853-06-15,0.21417795,0.16754195,0.26216695
Northern Hemisphere,,1853-07-15,0.15242995,0.10812895,0.21011995
Northern Hemisphere,,1853-08-15,-0.043716058,-0.088621065,0.018850952
Northern Hemisphere,,1853-09-15,-0.10590206,-0.16565104,-0.05292906
Northern Hemisphere,,1853-10-15,-0.09567104,-0.16661607,-0.044540048
Northern Hemisphere,,1853-11-15,0.01868695,-0.06315005,0.078526944
Northern Hemisphere,,1853-12-15,0.09817695,0.017794952,0.15563394
Northern Hemisphere,,1854-01-15,0.14778094,0.07278695,0.20578195
Northern Hemisphere,,1854-02-15,0.023182943,-0.053188056,0.078401946
Northern Hemisphere,,1854-03-15,0.24192494,0.17193495,0.29201093
Northern Hemisphere,,1854-04-15,0.15925294,0.09863095,0.20158894
Northern Hemisphere,,1854-05-15,0.16323994,0.11092594,0.20856194
Northern Hemisphere,,1854-06-15,0.06595195,0.025081947,0.11645994
Northern Hemisphere,,1854-07-15,0.018303946,-0.023856059,0.073698945
Northern Hemisphere,,1854-08-15,0.28603494,0.24000594,0.34355295
Northern Hemisphere,,1854-09-15,0.14224595,0.08266595,0.19358994
Northern Hemisphere,,1854-10-15,-0.0005170554,-0.07046406,0.051326945
Northern Hemisphere,,1854-11-15,-0.021059051,-0.096004054,0.03657694
Northern Hemisphere,,1854-12-15,-0.06907605,-0.14387904,-0.012413055
Northern Hemisphere,,1855-01-15,0.23942494,0.16223495,0.29930595
Northern Hemisphere,,1855-02-15,0.09510095,0.025902942,0.14899595
Northern Hemisphere,,1855-03-15,0.29382095,0.22689694,0.34288594
Northern Hemisphere,,1855-04-15,0.090760946,0.032655954,0.13376394
Northern Hemisphere,,1855-05-15,-0.14649205,-0.19636406,-0.10417004
Northern Hemisphere,,1855-06-15,0.07470395,0.03345795,0.11912394
Northern Hemisphere,,1855-07-15,0.010158941,-0.027455047,0.061370946
Northern Hemisphere,,1855-08-15,0.07634695,0.034525946,0.13210694
Northern Hemisphere,,1855-09-15,-0.044251055,-0.096254066,0.008850947
Northern Hemisphere,,1855-10-15,0.31326994,0.24996194,0.36947593
Northern Hemisphere,,1855-11-15,0.23725694,0.16819495,0.29149294
Northern Hemisphere,,1855-12-15,0.14311795,0.07156095,0.20266795
Northern Hemisphere,,1856-01-15,0.086916946,0.014856949,0.14821294
Northern Hemisphere,,1856-02-15,0.006096944,-0.061098054,0.06089595
Northern Hemisphere,,1856-03-15,0.05000595,-0.012107059,0.100140944
Northern Hemisphere,,1856-04-15,0.07025095,0.012949944,0.11500894
Northern Hemisphere,,1856-05-15,0.19027394,0.14347695,0.23090595
Northern Hemisphere,,1856-06-15,-0.05356306,-0.09194206,-0.009516045
Northern Hemisphere,,1856-07-15,-0.31213206,-0.35039607,-0.26018506
Northern Hemisphere,,1856-08-15,-0.19850905,-0.23922406,-0.14499204
