study,burn,sites,Project_site,Lat.N.,Lon.W.,BS.dens.pre,BS.ba.pre,TA.den.pre,TA.ba.pre,PB.dens.pre,PB.ba.pre,bs.biomass.pre,ta.biomass.pre,pb.biomass.pre,decid.dens.pre,decid.ba.pre,decid.bio.pre,rel.decid.dens.pre,rel.decid.ba.pre,rel.decid.bio.pre,DI.pre,class.pre,BS.dens.post,TA.dens.post,PB.dens.post,decid.dens.post,bs.bio.post,ta.bio.post,pb.bio.post,decid.bio.post,rel.decid.dens.post,rel.decid.bio.post,DI.post,class.post
DiVA,Applegate,1162,DiVA_1162,65.15733,-150.17776,0.666667,3.658,0.216666667,12.4010375,0.133333333,40.33578583,1082.231263,3697.701096,991.4664974,0.35,52.73682333,4689.167594,0.344262182,0.93513589,0.812483717,57.83729494,Mixed,0,5.666666667,0,5.666666667,0,801.2463374,0,801.2463374,1,1,100,Decid
DiVA,Applegate,1913,DiVA_1913,65.15151696,-150.221337,1.333333,3.907,0.033333333,7.164040833,0.1,30.20863167,1215.385869,2537.064888,362.5826377,0.133333333,37.3726725,2899.647526,0.090909111,0.905352931,0.704647386,39.77782488,Mixed,0.666666667,3.666666667,0.5,4.166666667,0.162102466,692.9713926,0.993288114,693.9646808,0.862068965,0.999766466,93.09177155,Decid
DiVA,Applegate,2232,DiVA_2232,65.158239,-150.174353,0,0,0.15,24.0151125,0.033333333,2.529008333,0,8185.269347,0,0.183333333,26.54412083,8185.269347,1,1,1,100,Decid,0,6.5,0.166666667,6.666666667,0,808.5911323,0.000943374,808.5920756,1,1,100,Decid
DiVA,Applegate,2957,DiVA_2957,65.160728,-150.180116,0.833333,3.302,0,0,0.233333333,37.0272725,1002.682751,0,1195.199166,0.233333333,37.0272725,1195.199166,0.218750068,0.918123988,0.543795896,38.1272982,Mixed,0,2.333333333,2.333333333,4.666666667,0,143.0895573,156.935177,300.0247343,1,1,100,Decid
DiVA,Applegate,4362,DiVA_4362,65.15998696,-150.174977,1.666667,26.003,0.066666667,10.11773417,0.033333333,6.318203333,7076.078469,3424.626117,820.0960262,0.1,16.4359375,4244.722144,0.056603763,0.387284378,0.374948936,21.57763494,Spruce,2.166666667,4.666666667,2.5,7.166666667,1.089359193,154.9436651,53.1334275,208.0770926,0.767857143,0.994791903,88.13245229,Decid
DiVA,Applegate,4409,DiVA_4409,65.15585099,-150.21766,4.166667,4.253,0.166666667,16.18853167,0,0,1439.48124,5170.604303,0,0.166666667,16.18853167,5170.604303,0.038461536,0.791943184,0.78222956,41.03455475,Mixed,0.166666667,10.83333333,0,10.83333333,0.007286899,464.986893,0,464.986893,0.984848485,0.999984329,99.24164069,Decid
DiVA,Applegate,4928,DiVA_4928,65.15358503,-150.219429,2,11.173,0,0,0.083333333,21.76163917,3300.81944,0,632.5499912,0.083333333,21.76163917,632.5499912,0.04,0.660752318,0.160816318,10.04081592,Spruce,1.166666667,0,0.5,0.5,1.056764951,0,3.124728606,3.124728606,0.3,0.747275719,52.36378597,Mixed
DiVA,Eagle Trail,26,DiVA_26,63.367422,-143.485766,3.666667,14.809,0,0,0.016666667,0.879723333,4490.022796,0,87.25913769,0.016666667,0.879723333,87.25913769,0.004524887,0.056073609,0.019063527,1.179420677,Spruce,1,1,4.5,5.5,3.03996147,0.437020691,25.51892659,25.95594728,0.846153846,0.895158952,87.06563989,Decid
DiVA,Eagle Trail,51,DiVA_51,63.37057703,-143.469121,0.666667,6.185,0,0,0.1,10.5649225,1754.560703,0,1356.779369,0.1,10.5649225,1356.779369,0.130434726,0.63074456,0.436075562,28.32551438,Spruce,0,0,3.333333333,3.333333333,0,0,93.37943648,93.37943648,1,1,100,Decid
DiVA,Eagle Trail,54,DiVA_54,63.36437199,-143.473378,6.5,2.958,0,0,0.033333333,0.079808333,1068.00808,0,14.32804309,0.033333333,0.079808333,14.32804309,0.005102041,0.026271682,0.013238072,0.917005618,Spruce,5.333333333,0,1.5,1.5,12.42966742,0,1.745157515,1.745157515,0.219512195,0.123116689,17.13144421,Spruce
