sample,AF,AG,PF,PG,SH,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,total_seed_count,fg_richness
1,3,0,0,0,0,1,1,GB,OW,1,15.0,,burned,15,GB-OW-01-3,3,20,I,GB-OW-01-3-3-20-I,2018-06-26,3,1
2,5,0,0,2,0,1,1,CP,,CON,,,control,31,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08,7,2
3,1,0,1,0,0,1,1,CH,JCB,CON,,,control,6,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21,2,2
4,4,0,0,0,0,1,1,CH,KNT,CON,,,control,12,CH-KNT-CON-3,2,20,S,CH-KNT-CON-3-2-20-S,2018-10-24,4,1
5,0,4,0,0,1,1,1,SO,GST,5,15.0,,burned,42,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26,5,2
6,11,0,1,0,0,1,1,CP,,CON,,,control,33,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07,12,2
7,26,1,0,0,2,1,1,SO,GAT,CON,,,control,38,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,29,3
8,1,0,0,1,0,1,1,GB,OW,1,15.0,,burned,14,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26,2,2
9,3,1,0,2,0,2,1,CP,,89,30.0,,burned,28,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,6,3
11,3,1,0,0,6,2,1,SO,GST,5,15.0,,burned,41,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,10,3
12,52,2,0,0,0,2,1,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20,54,2
13,3,0,0,0,0,2,1,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,3,20,I,CH-KNT-89-2-3-20-I,2018-10-22,3,1
14,5,0,0,0,0,2,1,CH,JCB,CON,,,control,5,CH-JCB-CON-2,3,10,S,CH-JCB-CON-2-3-10-S,2018-10-21,5,1
15,0,1,0,0,0,2,1,SO,GST,5,15.0,,burned,41,SO-GST-05-2,2,20,S,SO-GST-05-2-2-20-S,2018-09-27,1,1
