sample,fctngrp,count,tray_num,block_num,desert,fire_name_fg,fire_year_fg,TSF_fg,TSF2_fg,burn_fg,plot_num_fg,fullplot_name_fg,line_fg,location_fg,overstory_fg,unique_ID_fg,date_coll_fg,data_type,fire_name_attr,fire_year_attr,TSF_attr,TSF2_attr,burn_attr,plot_num_attr,fullplot_name_attr,line_attr,location_attr,overstory_attr,unique_ID_attr,date_coll_attr
1,AF,3,1,1,GB,OW,1,15,15F,burned,3,GB-OW-01-3,3,20,I,GB-OW-01-3-3-20-I,2018-06-26,seedbank,OW,1,15,15F,burned,15,GB-OW-01-3,3,20,I,GB-OW-01-3-3-20-I,2018-06-26
2,AF,5,1,1,CP,,CON,control,con,control,1,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08,seedbank,,CON,control,con,control,31,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08
2,PG,2,1,1,CP,,CON,control,con,control,1,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08,seedbank,,CON,control,con,control,31,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08
3,AF,1,1,1,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21,seedbank,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21
3,PF,1,1,1,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21,seedbank,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21
4,AF,4,1,1,CH,KNT,CON,control,30C,control,3,CH-KNT-CON-3,2,20,S,CH-KNT-CON-3-2-20-S,2018-10-24,seedbank,KNT,CON,control,30C,control,12,CH-KNT-CON-3,2,20,S,CH-KNT-CON-3-2-20-S,2018-10-24
5,AG,4,1,1,SO,GST,5,15,15F,burned,3,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26,seedbank,GST,5,15,15F,burned,42,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26
5,SH,1,1,1,SO,GST,5,15,15F,burned,3,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26,seedbank,GST,5,15,15F,burned,42,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26
6,AF,11,1,1,CP,,CON,control,con,control,3,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07,seedbank,,CON,control,con,control,33,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07
6,PF,1,1,1,CP,,CON,control,con,control,3,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07,seedbank,,CON,control,con,control,33,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07
7,AF,26,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank,GAT,CON,control,30C,control,38,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24
7,AG,1,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank,GAT,CON,control,30C,control,38,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24
7,SH,2,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank,GAT,CON,control,30C,control,38,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24
8,AF,1,1,1,GB,OW,1,15,15F,burned,2,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26,seedbank,OW,1,15,15F,burned,14,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26
8,PG,1,1,1,GB,OW,1,15,15F,burned,2,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26,seedbank,OW,1,15,15F,burned,14,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26
9,AF,3,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07
9,AG,1,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07
9,PG,2,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07
11,AF,3,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank,GST,5,15,15F,burned,41,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27
11,AG,1,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank,GST,5,15,15F,burned,41,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27
11,SH,6,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank,GST,5,15,15F,burned,41,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27
12,AF,52,2,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20,seedbank,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20
12,AG,2,2,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20,seedbank,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20
13,AF,3,2,1,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,3,20,I,CH-KNT-89-2-3-20-I,2018-10-22,seedbank,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,20,I,CH-KNT-89-2-3-20-I,2018-10-22
14,AF,5,2,1,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,3,10,S,CH-JCB-CON-2-3-10-S,2018-10-21,seedbank,JCB,CON,control,15C,control,5,CH-JCB-CON-2,3,10,S,CH-JCB-CON-2-3-10-S,2018-10-21
15,AG,1,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,2,20,S,SO-GST-05-2-2-20-S,2018-09-27,seedbank,GST,5,15,15F,burned,41,SO-GST-05-2,2,20,S,SO-GST-05-2-2-20-S,2018-09-27
16,PF,2,2,1,CP,,CON,control,con,control,1,MV-CON-1,3,10,S,MV-CON-1-3-3-10-S,2018-06-08,seedbank,,CON,control,con,control,31,MV-CON-1,3,10,S,MV-CON-1-3-3-10-S,2018-06-08
