sample,AF,AG,PF,PG,SH
1,3,0,0,0,0
2,5,0,0,2,0
3,1,0,1,0,0
4,4,0,0,0,0
5,0,4,0,0,1
6,11,0,1,0,0
7,26,1,0,0,2
8,1,0,0,1,0
9,3,1,0,2,0
11,3,1,0,0,6
12,52,2,0,0,0
13,3,0,0,0,0
14,5,0,0,0,0
15,0,1,0,0,0
16,0,0,2,1,0
17,2,2,0,0,0
18,2,0,0,0,0
19,1,3,1,1,0
20,7,0,0,0,0
22,0,0,1,0,0
26,0,1,0,0,0
27,6,0,0,0,0
28,0,0,0,1,0
29,5,1,0,0,0
30,1,5,0,0,0
31,27,3,1,0,1
32,4,1,0,0,3
33,0,1,0,1,0
34,1,0,1,0,0
35,12,0,0,0,0
36,5,0,0,0,0
37,0,0,7,2,0
38,31,0,0,0,0
39,6,0,0,0,0
40,0,5,0,0,0
41,1,0,1,9,0
42,60,3,0,0,5
43,1,0,1,1,0
44,24,0,0,0,0
45,1,0,0,0,0
46,8,0,0,0,0
47,0,0,0,2,0
49,1,0,0,2,0
50,3,0,0,1,0
52,1,0,0,0,0
53,0,19,1,31,0
54,4,0,0,0,0
55,0,1,0,0,4
56,0,0,4,6,0
57,2,1,0,0,0
58,3,0,0,0,0
59,7,0,0,0,0
60,1,8,0,0,2
61,1,1,13,0,0
62,1,0,4,0,0
63,22,0,0,0,0
64,1,0,1,1,0
65,7,0,0,0,0
66,12,0,0,0,0
67,1,1,0,0,0
68,11,0,0,0,0
69,5,38,0,2,0
70,3,1,0,0,1
71,1,0,5,0,0
72,8,0,0,0,0
74,2,0,0,0,0
76,8,14,0,0,0
78,2,0,0,0,0
79,26,0,0,0,1
80,6,2,0,0,0
81,1,0,0,0,0
82,2,0,0,0,0
83,4,0,0,0,0
84,5,0,0,0,0
88,0,0,0,1,0
89,3,0,0,0,0
90,5,0,0,0,0
91,2,7,0,15,0
92,3,21,0,4,0
93,1,0,0,0,0
94,3,0,0,0,0
95,4,0,0,0,0
96,9,10,0,0,0
98,0,7,0,0,0
100,4,0,0,0,1
101,3,1,1,0,0
102,2,4,1,0,0
103,2,3,0,0,0
104,1,0,0,0,2
105,10,8,0,0,2
106,2,27,0,0,1
108,3,0,0,0,0
109,0,0,0,5,4
110,1,0,0,0,0
111,1,0,0,0,0
112,103,1,0,0,0
114,16,17,0,0,0
115,6,20,0,0,0
116,1,1,0,0,0
120,10,1,0,0,0
122,25,0,0,0,0
123,29,1,0,0,0
124,1,0,0,0,0
125,2,0,1,1,0
126,5,0,0,0,0
127,2,43,0,0,0
128,29,0,0,0,5
129,20,1,0,0,0
130,3,1,0,0,0
131,0,0,0,1,0
132,6,1,0,20,0
133,5,0,0,0,0
134,0,3,3,3,0
135,22,1,0,0,2
136,4,0,0,2,0
137,4,0,0,0,0
138,2,0,0,3,0
139,2,0,5,17,0
140,6,0,0,0,0
141,0,2,0,0,0
142,1,1,0,0,0
143,9,0,0,0,0
145,3,0,8,7,0
146,0,0,0,13,1
147,3,0,0,8,0
148,43,0,0,0,0
149,2,5,0,5,0
150,7,16,0,0,1
151,17,2,0,0,4
152,5,1,0,0,1
153,1,0,0,0,0
155,6,0,0,0,0
156,1,4,0,0,0
157,6,0,0,0,0
158,0,0,0,5,0
159,32,0,1,0,0
160,0,0,0,4,0
161,1,1,0,6,0
162,2,1,0,0,0
163,32,4,0,0,0
164,2,1,0,0,0
165,15,9,0,0,0
166,1,0,0,9,1
168,2,0,0,6,0
169,4,3,0,0,0
171,9,0,0,0,0
172,1,0,0,3,0
173,0,1,2,13,0
174,0,1,0,0,2
175,7,0,0,0,0
176,7,1,1,0,0
177,5,1,0,0,0
178,7,0,0,0,0
179,3,0,0,0,0
181,1,0,0,0,0
182,0,7,1,1,0
183,5,0,0,0,0
184,3,0,0,0,0
185,3,1,4,1,0
186,1,0,0,0,0
187,1,0,0,0,0
188,0,0,6,3,0
189,1,0,0,0,0
190,0,2,0,0,0
191,3,0,0,0,0
192,2,0,0,7,0
193,18,1,0,0,1
194,12,0,0,0,0
196,49,0,0,0,4
197,1,1,0,0,0
198,8,0,0,0,0
199,0,0,0,2,0
200,4,0,0,0,0
201,2,0,0,0,0
202,15,2,0,0,0
203,12,0,0,0,0
204,3,5,0,0,0
205,7,2,0,0,0
206,0,0,1,20,0
207,29,0,1,0,2
208,2,1,1,15,0
209,1,0,0,0,0
211,1,1,0,2,0
212,4,1,0,0,0
213,1,0,0,2,0
214,13,0,0,0,0
215,0,0,0,8,0
216,5,0,0,0,0
217,0,1,0,0,0
218,0,3,0,0,1
219,0,1,0,0,0
220,10,0,0,0,0
221,2,3,0,29,0
223,0,1,0,0,0
224,1,0,0,0,0
226,1,2,0,0,0
227,3,0,0,0,0
228,5,0,0,0,0
229,0,3,0,0,0
230,3,0,0,0,0
231,11,2,4,0,0
232,2,0,0,0,0
233,1,0,1,0,0
235,0,0,0,5,0
236,11,10,0,0,1
237,5,0,0,0,0
238,0,15,0,0,0
240,5,0,0,0,0
241,0,0,1,5,0
242,0,0,0,0,3
243,3,8,0,0,3
244,0,0,2,15,0
245,0,3,0,0,0
246,3,0,0,2,0
247,6,5,0,0,0
248,8,2,0,0,0
250,0,0,0,2,0
251,0,0,1,0,0
252,1,0,0,0,0
253,16,0,0,0,0
255,1,0,0,0,0
256,1,2,2,82,0
257,7,0,0,0,0
258,0,0,0,1,0
259,1,0,0,0,0
260,4,1,0,0,0
261,0,0,1,0,0
262,16,3,13,2,0
263,1,0,0,4,0
265,9,0,0,0,0
266,7,0,0,0,0
267,7,0,0,0,0
268,28,3,0,0,0
270,2,0,1,0,0
271,7,15,5,3,0
272,0,39,0,0,0
273,1,0,0,2,0
274,0,1,10,6,0
275,0,0,0,0,4
276,7,0,0,0,0
277,1,0,0,0,0
278,8,33,0,0,1
279,42,1,0,0,1
280,1,1,0,0,0
281,1,0,1,8,0
282,8,0,0,0,0
283,15,0,0,0,0
284,0,0,2,0,0
285,4,3,1,1,0
286,0,26,0,0,0
287,0,0,0,3,0
288,7,0,0,0,0
289,0,0,0,2,0
290,3,0,0,0,0
291,1,0,0,0,0
292,1,0,0,0,0
293,0,0,0,3,0
294,25,21,0,0,0
295,7,4,0,2,0
296,0,0,0,0,3
297,1,1,0,0,0
298,1,0,0,1,0
299,5,0,0,0,2
300,8,1,2,3,0
301,0,1,0,0,0
302,1,0,6,11,0
303,0,0,0,3,0
304,14,0,0,0,0
305,1,0,0,2,0
306,3,0,1,7,0
308,1,0,2,0,0
309,3,0,0,0,0
310,1,5,0,0,2
311,0,1,1,0,0
312,1,0,25,59,0
313,1,1,0,2,0
314,42,0,0,0,0
315,4,2,0,0,0
316,2,2,0,0,0
317,3,8,0,0,0
318,0,0,0,3,0
319,7,0,0,0,0
320,0,0,0,3,0
321,2,1,0,0,1
322,0,0,0,2,0
323,1,0,1,3,0
325,5,12,0,0,0
326,8,0,0,0,0
327,4,0,0,0,0
328,0,0,0,3,0
