sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
95,12,4,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,10,I,CH-JCB-01-1-1-10-I,2018-10-20
220,28,3,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,10,S,CH-JCB-01-1-1-10-S,2018-10-20
342,43,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,I,CH-JCB-01-1-1-20-I,2018-10-20
12,2,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20
444,56,6,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,2,10,I,CH-JCB-01-1-2-10-I,2018-10-20
282,36,4,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,2,10,S,CH-JCB-01-1-2-10-S,2018-10-20
143,18,2,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,2,20,I,CH-JCB-01-1-2-20-I,2018-10-20
259,33,4,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,2,20,S,CH-JCB-01-1-2-20-S,2018-10-20
458,58,6,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,3,10,I,CH-JCB-01-1-3-10-I,2018-10-20
410,52,5,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,3,10,S,CH-JCB-01-1-3-10-S,2018-10-20
184,23,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,3,20,I,CH-JCB-01-1-3-20-I,2018-10-20
534,67,6,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,3,20,S,CH-JCB-01-1-3-20-S,2018-10-20
450,57,6,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,10,I,CH-JCB-01-2-1-10-I,2018-10-19
46,6,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,10,S,CH-JCB-01-2-1-10-S,2018-10-19
58,8,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,20,I,CH-JCB-01-2-1-20-I,2018-10-19
198,25,2,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,20,S,CH-JCB-01-2-1-20-S,2018-10-19
514,65,5,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,2,10,I,CH-JCB-01-2-2-10-I,2018-10-19
508,64,5,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,2,10,S,CH-JCB-01-2-2-10-S,2018-10-19
283,36,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,2,20,I,CH-JCB-01-2-2-20-I,2018-10-19
386,49,5,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,2,20,S,CH-JCB-01-2-2-20-S,2018-10-19
78,10,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,10,I,CH-JCB-01-2-3-10-I,2018-10-19
326,41,2,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,10,S,CH-JCB-01-2-3-10-S,2018-10-19
108,14,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,20,I,CH-JCB-01-2-3-20-I,2018-10-19
257,33,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,20,S,CH-JCB-01-2-3-20-S,2018-10-19
