sample,fctngrp,count,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,data_type
1,AF,3,1,1,GB,OW,1,15,15F,burned,3,GB-OW-01-3,3,20,I,GB-OW-01-3-3-20-I,2018-06-26,seedbank
2,AF,5,1,1,CP,,CON,control,con,control,1,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08,seedbank
2,PG,2,1,1,CP,,CON,control,con,control,1,MV-CON-1,1,10,S,MV-CON-1-1-1-10-S,2018-06-08,seedbank
3,AF,1,1,1,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21,seedbank
3,PF,1,1,1,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21,seedbank
4,AF,4,1,1,CH,KNT,CON,control,30C,control,3,CH-KNT-CON-3,2,20,S,CH-KNT-CON-3-2-20-S,2018-10-24,seedbank
5,AG,4,1,1,SO,GST,5,15,15F,burned,3,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26,seedbank
5,SH,1,1,1,SO,GST,5,15,15F,burned,3,SO-GST-05-3,1,10,I,SO-GST-05-3-1-10-I,2018-09-26,seedbank
6,AF,11,1,1,CP,,CON,control,con,control,3,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07,seedbank
6,PF,1,1,1,CP,,CON,control,con,control,3,MV-CON-3,3,20,S,MV-CON-3-3-3-20-S,2018-06-07,seedbank
7,AF,26,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank
7,AG,1,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank
7,SH,2,1,1,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,10,S,SO-GAT-CON-2-1-10-S,2018-09-24,seedbank
8,AF,1,1,1,GB,OW,1,15,15F,burned,2,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26,seedbank
8,PG,1,1,1,GB,OW,1,15,15F,burned,2,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26,seedbank
9,AF,3,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank
9,AG,1,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank
9,PG,2,2,1,CP,,89,30,30F,burned,1,MV-89-1,3,10,I,MV-89-1-3-3-10-I,2018-06-07,seedbank
11,AF,3,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank
11,AG,1,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank
11,SH,6,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,1,20,S,SO-GST-05-2-1-20-S,2018-09-27,seedbank
12,AF,52,2,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20,seedbank
12,AG,2,2,1,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,20,S,CH-JCB-01-1-1-20-S,2018-10-20,seedbank
13,AF,3,2,1,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,3,20,I,CH-KNT-89-2-3-20-I,2018-10-22,seedbank
14,AF,5,2,1,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,3,10,S,CH-JCB-CON-2-3-10-S,2018-10-21,seedbank
15,AG,1,2,1,SO,GST,5,15,15F,burned,2,SO-GST-05-2,2,20,S,SO-GST-05-2-2-20-S,2018-09-27,seedbank
16,PF,2,2,1,CP,,CON,control,con,control,1,MV-CON-1,3,10,S,MV-CON-1-3-3-10-S,2018-06-08,seedbank
16,PG,1,2,1,CP,,CON,control,con,control,1,MV-CON-1,3,10,S,MV-CON-1-3-3-10-S,2018-06-08,seedbank
17,AF,2,3,2,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,3,10,I,SO-GST-CON-1-3-10-I,2018-09-25,seedbank
17,AG,2,3,2,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,3,10,I,SO-GST-CON-1-3-10-I,2018-09-25,seedbank
18,AF,2,3,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,3,10,I,CH-JCB-CON-2-3-10-I,2018-10-21,seedbank
19,AF,1,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank
19,AG,3,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank
19,PF,1,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank
19,PG,1,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank
20,AF,7,3,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,20,I,CH-JCB-CON-2-2-20-I,2018-10-21,seedbank
22,PF,1,3,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,2,20,I,GB-RAD-CON-2-2-20-I,2018-06-23,seedbank
26,AG,1,4,2,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,I,SO-GAT-80-2-2-10-I,2018-09-23,seedbank
27,AF,6,4,2,CP,,CON,control,con,control,3,MV-CON-3,2,10,I,MV-CON-3-2-2-10-I,2018-06-07,seedbank
28,PG,1,4,2,CP,,CON,control,con,control,3,MV-CON-3,3,20,I,MV-CON-3-3-3-20-I,2018-06-07,seedbank
29,AF,5,4,2,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23,seedbank
29,AG,1,4,2,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23,seedbank
30,AF,1,4,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23,seedbank
30,AG,5,4,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23,seedbank
31,AF,27,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank
31,AG,3,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank
31,PF,1,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank
31,SH,1,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank
32,AF,4,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank
32,AG,1,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank
32,SH,3,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank
33,AG,1,5,2,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23,seedbank
33,PG,1,5,2,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23,seedbank
34,AF,1,5,2,CP,,CON,control,con,control,2,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07,seedbank
34,PF,1,5,2,CP,,CON,control,con,control,2,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07,seedbank
35,AF,12,5,2,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,20,I,SO-GAT-CON-2-2-20-I,2018-09-24,seedbank
36,AF,5,5,2,CH,KNT,89,30,30F,burned,1,CH-KNT-89-1,2,20,S,CH-KNT-89-1-2-20-S,2018-10-22,seedbank
37,PF,7,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank
37,PG,2,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank
38,AF,31,5,2,CH,KNT,CON,control,30C,control,1,CH-KNT-CON-1,2,10,S,CH-KNT-CON-1-2-10-S,2018-10-24,seedbank
39,AF,6,5,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,20,S,CH-JCB-CON-2-2-20-S,2018-10-21,seedbank
