ID,M2L,e_M2L,M2Lb,T,D,e_D,Inc,e_Inc,L[3.6],e_L[3.6],Lbulge,Reff,Rp,SBeff,e_SBeff,Rdisk,SB0,e_SB0,Mbar,e_Mbar,SBbar,e_SBbar,Vp,e_Vp,Vb,e_Vb
CamB,0.11,0,0,3,3.36,0.26,65,5,0.075,0.003,0,,,0.334,0.123,0.47,2.96,0.037,0.01,,0.754,0.11,16.8,,0.94,0
D512-2,2.37,0.093,0,3,15.2,4.56,56,10,0.325,0.022,0,,,0.156,0.501,1.24,124.589,4.908,0.77,,56.824,12.282,33.5,,3.24,0.632
D564-8,2.37,0.558,0,3,8.79,0.28,63,7,0.033,0.004,0,,,0.59,0.254,0.61,22.74,5.353,0.08,,4.098,3.733,21.9,,5.364,1.5
D631-7,0.92,0,0,3,7.72,0.18,59,3,0.196,0.009,0,,,0.78,0.291,0.7,54.594,0.027,0.18,,1.805,1.92,30.9,,7.771,0
DDO064,2.19,0.195,0,0,6.8,2.04,60,5,0.157,0.007,0,,,0.705,0.379,0.69,165.982,14.813,0.34,,9.025,2.896,46.9,,4.414,1.035
DDO154,4.28,0,0,0,4.04,0.2,64,3,0.053,0.002,0,,,0.763,0.201,0.37,133.567,0.023,0.23,,0.893,0.411,46.3,,0.997,0
DDO161,1.2,0.107,0,0,7.5,2.25,70,10,0.548,0.015,0,,,0.093,0.421,1.22,69.238,6.22,0.65,,0.919,0.556,63,,8.042,0.405
DDO168,2.04,0.351,0,2,4.25,0.21,63,6,0.191,0.005,0,,,0.276,0.393,1.02,85.504,14.712,0.39,,5.028,6.096,52.9,,3.475,1.551
DDO170,4.2,0.571,0,0,15.4,4.62,66,7,0.543,0.03,0,,,0.819,0.189,1.95,126.389,17.171,2.28,,7.778,4.074,58.6,,6.874,2.132
ESO079-G014,0.97,0,0,3,28.7,7.17,79,5,51.733,0.524,0,,,0.022,0.499,5.08,427.076,0.017,50.45,,11.979,2.147,175,,36.226,0
ESO116-G012,1.21,0.091,0,3,13,3.9,74,3,4.292,0.071,0,,,4.956,0.36,1.51,440.904,33.004,5.2,,28.558,17.522,102,,6.318,2.612
ESO444-G084,5.39,0.882,0,3,4.83,0.48,32,6,0.071,0.003,0,,,6.8,1.489,0.46,305.395,49.967,0.38,,3.327,9.011,58,,7.552,2.482
ESO563-G021,0.66,0,0,3,60.8,9.1,83,3,311.177,2.579,0,,,2.327,0.334,5.45,529.716,0.006,206.22,,46.033,4.525,314,,31.148,0
F561-1,0.86,0.094,0,3,66.4,10,24,10,4.077,0.327,0,,,0.208,3.206,2.79,73.345,8.034,3.52,,8.267,3.837,50.4,,4.449,2.12
F563-1,3.01,0,0,3,48.9,9.8,25,5,1.903,0.17,0,,,2.888,1.018,3.52,113.874,0.079,5.72,,0.627,0.949,106,,7.202,0
F563-V1,1.01,0.061,0,3,54,10.8,60,10,1.54,0.165,0,,,0.875,0.423,3.79,20.581,1.242,1.56,,8.892,2.322,27.3,,0.956,0.536
F563-V2,4.16,0.229,0,3,59.7,11.9,29,10,2.986,0.267,0,,,0.641,3.135,2.43,531.787,29.233,12.42,,23.084,12.919,117,,3.395,2.486
F565-V2,5.71,1.068,0,3,51.8,10.4,60,10,0.559,0.098,0,,,0.465,0.301,2.17,114.88,21.503,3.19,,0.897,7.924,83.1,,4.901,4.096
F567-2,1.83,0.214,0,3,79,11.8,20,10,2.134,0.305,0,,,0.806,1.763,3.08,80.384,9.381,3.91,,1.912,5.888,52.2,,0.888,2.296
F568-1,3.02,0.413,0,3,90.7,9.7,26,5,6.252,0.564,0,,,8.299,1.433,5.18,154.872,21.194,18.86,,0.799,13.243,142,,8.873,5.21
F568-3,1.35,0,0,3,82.4,8.24,40,10,8.346,0.592,0,,,8.24,2.426,4.99,137.039,0.133,11.3,,3.367,2.367,117,,9.172,0
F568-V1,4.46,0.272,0,3,80.6,8.06,40,10,3.825,0.384,0,,,4.046,3.199,2.85,309.169,18.868,17.05,,1.996,10.808,113,,9.153,2.904
F571-8,0.24,0.05,0,3,53.3,10.7,85,5,10.164,0.412,0,,,1.965,0.547,3.56,1.808,0.379,2.42,,33.883,71.252,69.1,,6.064,5.82
F571-V1,2.56,0.407,0,3,80.1,8,30,10,1.849,0.267,0,,,3.25,1.993,2.47,142.979,22.676,4.74,,7.635,8.072,82.5,,9.084,3.517
F574-1,2.06,0.215,0,3,96.8,9.68,65,10,6.537,0.596,0,,,2.67,0.93,4.46,111.648,11.689,13.44,,3.499,8.815,99.7,,7.98,3.477
F574-2,0.57,0,0,3,89.1,8.91,30,10,2.877,0.384,0,,,0.431,1.418,3.76,20.356,0.15,1.63,,0.45,1.395,40,,9.279,0
F579-V1,2.59,0.141,0,3,89.5,8.95,26,10,11.848,0.742,0,,,0.872,7.94,3.37,469.416,25.627,30.67,,95.393,16.233,114,,20.955,3.145
F583-1,2.16,0.302,0,3,35.4,8.85,63,5,0.986,0.093,0,,,0.08,0.201,2.36,59.863,8.345,2.13,,0.67,1.123,86.9,,7.242,1.009
F583-4,1.96,0.073,0,3,53.3,10.7,55,10,1.715,0.185,0,,,4.305,1.425,1.93,93.866,3.468,3.37,,5.599,6.339,67.2,,6.772,0.983
IC2574,1.4,0,0,0,3.91,0.2,75,7,1.016,0.012,0,,,0.11,0.13,2.78,29.136,0.032,1.42,,0.205,0.121,67.5,,9.346,0
IC4202,0.38,0,0.381,3,100.4,10,90,1,179.749,3.311,37.362,,,0,0,4.78,0,0,68.44,,22.651,7.785,240,,51.763,0
KK98-251,2.71,0,0,3,6.8,2.04,59,5,0.085,0.007,0,,,0.064,0.182,1.34,72.85,0.045,0.23,,2.234,1.831,34.6,,7.948,0
NGC0024,1.75,0.098,0,0,7.3,0.36,64,3,3.889,0.036,0,,,6.479,1.525,1.34,906.161,50.742,6.8,,69.289,37.987,107,,3.812,2.531
NGC0055,1.17,0.102,0,0,2.11,0.11,77,3,4.628,0.013,0,,,2.271,0.144,6.11,103.361,8.982,5.43,,2.347,1.943,86.5,,1.912,1.897
NGC0100,1.02,0.082,0,3,13.5,4.05,89,1,3.232,0.063,0,,,0.134,0,1.66,21.235,1.7,3.29,,64.147,13.523,73.1,,6.887,2.176
NGC0247,2.26,0,0,0,3.7,0.19,74,3,7.332,0.027,0,,,0.314,0.134,3.74,315.687,0.014,16.57,,7.323,0.358,104,,9.827,0
NGC0289,0.79,0,0,3,20.8,5.2,46,5,72.065,0.465,0,,,103.069,66.784,6.74,38.308,0.061,56.81,,708.944,43.29,194,,1.166,0
NGC0300,1.62,0,0,2,2.08,0.1,42,10,2.922,0.008,0,,,9.621,14.146,1.75,526.135,0.129,4.73,,7.307,0.184,88.4,,5.226,0
NGC0801,0.51,0.033,0,3,80.7,8.07,80,1,312.57,3.455,0,,,42.069,0.431,8.72,137.844,8.971,159.16,,634.093,635.972,238,,1.046,6.533
NGC0891,0.43,0.039,0.435,0,9.91,0.5,90,1,138.34,0.255,18.877,,,0,0,2.55,0,0,59.02,,216.761,388.054,212,,36.359,9.02
NGC1003,1.05,0,0,3,11.4,3.42,67,5,6.82,0.075,0,,,5.042,1.874,1.61,553.49,0.034,7.18,,85.384,2.039,89.7,,3.71,0
NGC1090,0.61,0.059,0,3,37,9.25,64,3,72.045,0.796,0,,,24.357,2.853,3.53,547.885,52.978,43.81,,92.309,47.914,165,,33.907,6.486
NGC1705,2.59,0,0,0,5.73,0.29,80,10,0.533,0.01,0,,,0.325,1.819,0.39,264.382,0.03,1.38,,41.152,15.781,72.4,,3.488,0
NGC2366,0.96,0.1,0,0,3.27,0.16,68,5,0.236,0.005,0,,,1.98,0.391,0.65,40.996,4.266,0.23,,0.508,0.691,50.4,,0.269,0.36
NGC2403,0.88,0,0,2,3.16,0.16,63,3,10.041,0.028,0,,,54.838,3.679,1.39,560.869,0.024,8.81,,270.435,3.543,98.2,,0.233,0
NGC2683,0.8,0.032,0.8,0,9.81,0.49,80,5,80.415,0.222,5.386,,,97.924,2.995,2.18,1418.139,56.577,64.35,,449.657,57.973,212,,13.846,3.934
NGC2841,1.17,0.027,1.17,2,14.1,1.4,76,10,188.121,0.52,46.062,,,37.962,9.997,3.64,1345.103,30.781,220.13,,3951.868,321.596,285,,13.632,2.701
