Galaxy,N_points,Max_radius,Max_V_DM,V_DM_final,Best_model,Best_R2,NFW_R2,Isothermal_R2,PowerLaw_R2,Burkert_R2,PowerLaw_alpha
D564-8,6,3.07,22.735784569704208,22.735784569704208,Burkert,0.992014991141122,0.9749054545920995,0.0,0.9560252840440308,0.992014991141122,0.7107673457695156
D631-7,16,7.19,54.48304873995214,53.751862293319654,Burkert,0.9563455544251152,0.9297794596693756,0.0,0.9127873970428696,0.9563455544251152,0.786147136527088
DDO064,14,2.98,37.8430019950849,37.57548402881857,NFW,0.9070679221262798,0.9070679221262798,0.0,0.8931225319326586,0.9057835110627758,0.6225592794324878
DDO154,12,5.92,44.599809416633164,42.26645005202116,Burkert,0.9703653971159113,0.9462099534109808,0.0,0.8994357807463135,0.9703653971159113,0.5416333542750398
DDO161,31,13.37,58.40484397719079,58.40484397719079,Burkert,0.9823057688010657,0.9666248730976928,0.0,0.9517389550357335,0.9823057688010657,0.7806209703545682
DDO168,10,4.12,47.04707004692216,43.80542774588555,Burkert,0.929839633533051,0.9046808233994967,0.0,0.8857470007968198,0.929839633533051,0.7891601060326072
DDO170,8,12.33,54.98663383041374,54.98663383041374,Burkert,0.9570622837875912,0.9385922082884,0.0,0.8919576867709219,0.9570622837875912,0.4133788663252718
ESO079-G014,15,16.67,120.87790120613442,120.87790120613442,NFW,0.9570485604090383,0.9570485604090383,0.0,0.935367400911389,0.9562778792742849,0.5115756204387184
ESO116-G012,15,9.86,96.21962793526069,96.21962793526069,Burkert,0.9457971434593953,0.9309583052423769,0.0,0.9083839704022811,0.9457971434593953,0.6403836840004794
ESO444-G084,7,4.44,60.412967151100936,60.412967151100936,NFW,0.989151186815114,0.989151186815114,0.0,0.9535867779601382,0.9885782247123734,0.41134777551503054
ESO563-G021,30,42.41,244.37185905909868,241.96289756902814,PowerLaw,0.8902887449888646,0.8398659440861838,0.0,0.8902887449888646,0.8145774000383499,0.4413779124255877
F561-1,6,9.66,17.16496140397641,0.0,PowerLaw,0.08954389803850415,-0.09933120783149474,0.0,0.08954389803850415,-0.09416882926688075,-0.34543528974880555
F563-1,17,20.1,104.66792010926748,97.46794088314373,Burkert,0.8731804041061207,0.8500213994602335,0.0,0.7804827601669122,0.8731804041061207,0.31891943643382153
F563-V1,6,7.87,9.67739117737833,0.0,PowerLaw,0.6890093165226207,-0.2698889213729718,0.0,0.6890093165226207,-0.257991023671043,-0.9497868860661407
F563-V2,10,10.47,104.55088091450975,104.55088091450975,Burkert,0.9480340737991676,0.928338232169788,0.0,0.8556098864201825,0.9480340737991676,0.37059151292953807
F565-V2,7,8.8,76.30016710335568,76.30016710335568,Burkert,0.9899652828396944,0.9756511058992162,0.0,0.9509919419556402,0.9899652828396944,0.6196318442090389
F567-2,5,9.59,34.37877252026314,32.34082713846386,Burkert,0.6857213993314131,0.6428395350508203,0.0,0.5753631529325315,0.6857213993314131,0.48170573118995264
F568-1,12,13.23,124.17846149795865,124.17846149795865,Burkert,0.9694050820344633,0.9485710170031286,0.0,0.8836548107518519,0.9694050820344633,0.43786124363846635
F568-3,18,17.98,102.37645774297917,102.37645774297917,Burkert,0.9261909307487973,0.8971624171710932,0.0,0.8464394181653614,0.9261909307487973,0.4892622127285721
F568-V1,15,17.63,107.37273722877703,107.37273722877703,Burkert,0.9345083748466578,0.9110785212614009,0.0,0.8015524210106566,0.9345083748466578,0.31394890418480004
F571-8,13,15.55,132.42460760749867,132.42460760749867,Burkert,0.9201768569424417,0.8926584740359025,0.0,0.862397227843338,0.9201768569424417,0.633116664133305
F571-V1,7,13.59,74.18405219452495,74.18405219452495,Burkert,0.9753020377268402,0.9534380150054711,0.0,0.91044697967268,0.9753020377268402,0.5148281031354203
F574-1,14,12.6,81.27251872558153,80.74560978777733,Burkert,0.9557187109521852,0.9338891088417484,0.0,0.8614381600180505,0.9557187109521852,0.40272280021128315
F579-V1,14,15.16,88.67476247501314,88.67476247501314,Burkert,0.7571393175374196,0.7343732481755518,0.0,0.626715489798539,0.7571393175374196,0.14552288069291294
F583-1,25,16.26,75.41780956776722,74.19817652745921,Burkert,0.9513129553295541,0.9296677398559196,0.0,0.8518264562595785,0.9513129553295541,0.4327882151468528
F583-4,12,7.29,57.31456621139168,57.31456621139168,PowerLaw,0.9815404028730047,0.965558373050118,0.0,0.9815404028730047,0.9478419020495299,0.4904842228419572
IC2574,34,10.23,56.95156011910473,56.95156011910473,NFW,0.9681565291872573,0.9681565291872573,0.0,0.966498406139029,0.9649228545383514,0.8442716890329551
IC4202,32,25.9,152.60071133517042,152.60071133517042,PowerLaw,0.5938682713767918,0.5685341245903472,0.0,0.5938682713767918,0.5118913479716031,0.7553289729472232
