n,p_n,p_{n+1},start,end,length,primes,eta,phi_exp,tension,error_percent
0,2,3,4,9,5,2,0.833333,1.21,1.45,-27.36
1,3,5,9,25,16,5,0.861558,3.67,4.26,-14.79
2,5,7,25,49,24,6,0.845243,4.82,5.71,-4.88
3,7,11,49,121,72,15,0.860429,12.64,14.69,-2.06
4,11,13,121,169,48,9,0.858966,7.71,8.98,-0.22
5,13,17,169,289,120,22,0.875839,18.06,20.62,-6.28
6,17,19,289,361,72,11,0.878389,10.30,11.73,6.60
7,19,23,361,529,168,27,0.885117,23.05,26.05,-3.53
8,23,29,529,841,312,47,0.892569,40.52,45.40,-3.41
9,29,31,841,961,120,16,0.897772,15.05,16.76,4.75
10,31,37,961,1369,408,57,0.897647,49.64,55.30,-2.98
11,37,41,1369,1681,312,44,0.901871,36.77,40.77,-7.34
12,41,43,1681,1849,168,20,0.901310,19.47,21.60,7.99
13,43,47,1849,2209,360,46,0.900201,41.07,45.63,-0.81
14,47,53,2209,2809,600,80,0.907817,66.88,73.67,-7.91
15,53,59,2809,3481,672,78,0.909196,73.10,80.40,3.08
16,59,61,3481,3721,240,32,0.911018,25.73,28.24,-11.74
17,61,67,3721,4489,768,90,0.910335,81.23,89.23,-0.86
18,67,71,4489,5041,552,66,0.915231,57.49,62.81,-4.83
19,71,73,5041,5329,288,30,0.910327,29.73,32.66,8.88
20,73,79,5329,6241,912,106,0.915646,93.13,101.71,-4.04
21,79,83,6241,6889,648,75,0.912996,65.34,71.57,-4.58
22,83,89,6889,7921,1032,114,0.918460,102.84,111.97,-1.78
23,89,97,7921,9409,1488,163,0.917500,146.03,159.16,-2.35
24,97,101,9409,10201,792,89,0.919427,76.80,83.53,-6.14
25,101,103,10201,10609,408,42,0.921819,39.34,42.68,1.61
26,103,107,10609,11449,840,87,0.918926,80.55,87.66,0.75
27,107,109,11449,11881,432,42,0.919788,41.21,44.80,6.67
28,109,113,11881,12769,888,100,0.921485,84.27,91.45,-8.55
29,113,127,12769,16129,3360,354,0.921857,314.24,340.88,-3.71
30,127,131,16129,17161,1032,99,0.924136,95.25,103.07,4.11
31,131,137,17161,18769,1608,165,0.923664,147.39,159.58,-3.29
32,137,139,18769,19321,552,49,0.925985,50.33,54.35,10.93
33,139,149,19321,22201,2880,299,0.924423,260.59,281.90,-5.72
34,149,151,22201,22801,600,58,0.925056,53.90,58.26,0.46
35,151,157,22801,24649,1848,182,0.925674,165.23,178.50,-1.92
36,157,163,24649,26569,1920,186,0.926594,170.52,184.03,-1.06
37,163,167,26569,27889,1320,128,0.926609,116.60,125.84,-1.69
38,167,173,27889,29929,2040,198,0.927539,179.27,193.27,-2.39
39,173,179,29929,32041,2112,195,0.927025,184.48,199.01,2.06
40,179,181,32041,32761,720,76,0.930355,62.65,67.34,-11.40
41,181,191,32761,36481,3720,356,0.928213,321.87,346.76,-2.59
42,191,193,36481,37249,768,77,0.928692,66.09,71.17,-7.58
43,193,197,37249,38809,1560,144,0.928065,133.90,144.28,0.19
44,197,199,38809,39601,792,75,0.929938,67.80,72.91,-2.79
45,199,211,39601,44521,4920,463,0.929844,418.73,450.32,-2.74
46,211,223,44521,49729,5208,479,0.930168,439.03,471.99,-1.46
47,223,227,49729,51529,1800,168,0.930527,150.83,162.09,-3.52
48,227,229,51529,52441,912,82,0.931481,76.25,81.86,-0.17
49,229,233,52441,54289,1848,166,0.931246,154.18,165.56,-0.26
50,233,239,54289,57121,2832,270,0.931634,235.44,252.72,-6.40
51,239,241,57121,58081,960,90,0.930496,79.59,85.54,-4.96
52,241,251,58081,63001,4920,438,0.931857,406.25,435.96,-0.47
53,251,257,63001,66049,3048,275,0.932216,250.37,268.58,-2.34
54,257,263,66049,69169,3120,274,0.932328,255.32,273.85,-0.06
55,263,269,69169,72361,3192,292,0.932964,260.24,278.94,-4.47
56,269,271,72361,73441,1080,91,0.932939,87.84,94.16,3.47
57,271,277,73441,76729,3288,292,0.932765,266.79,286.03,-2.05
58,277,281,76729,78961,2232,199,0.933810,180.58,193.38,-2.82
59,281,283,78961,80089,1128,99,0.932465,91.11,97.71,-1.31
