n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,1
3,0,1,0,0,0,0,1
4,2,0,0,0,0,0,2
5,0,0,1,0,0,0,1
6,1,1,0,0,0,0,2
7,0,0,0,1,0,0,1
8,3,0,0,0,0,0,3
9,0,2,0,0,2,0,2
10,1,0,1,0,0,0,2
11,0,0,0,0,0,1,1
12,2,1,0,0,0,0,3
13,0,0,0,0,0,0,1
14,1,0,0,1,0,0,2
15,0,1,1,0,0,0,2
16,4,0,0,0,0,0,4
17,0,0,0,0,0,0,1
18,1,2,0,0,2,0,3
19,0,0,0,0,0,0,1
20,2,0,1,0,0,0,3
21,0,1,0,1,0,0,2
22,1,0,0,0,0,1,2
23,0,0,0,0,0,0,1
24,3,1,0,0,0,0,4
25,0,0,2,0,0,0,2
26,1,0,0,0,0,0,2
27,0,3,0,0,2,0,3
28,2,0,0,1,0,0,3
29,0,0,0,0,0,0,1
30,1,1,1,0,0,0,3
31,0,0,0,0,0,0,1
32,5,0,0,0,0,0,5
33,0,1,0,0,0,1,2
34,1,0,0,0,0,0,2
35,0,0,1,1,0,0,2
36,2,2,0,0,2,0,4
37,0,0,0,0,0,0,1
38,1,0,0,0,0,0,2
39,0,1,0,0,0,0,2
40,3,0,1,0,0,0,4
41,0,0,0,0,0,0,1
42,1,1,0,1,0,0,3
43,0,0,0,0,0,0,1
44,2,0,0,0,0,1,3
45,0,2,1,0,2,0,3
46,1,0,0,0,0,0,2
47,0,0,0,0,0,0,1
48,4,1,0,0,0,0,5
49,0,0,0,2,0,0,2
50,1,0,2,0,0,0,3
51,0,1,0,0,0,0,2
52,2,0,0,0,0,0,3
53,0,0,0,0,0,0,1
54,1,3,0,0,2,0,4
55,0,0,1,0,0,1,2
56,3,0,0,1,0,0,4
57,0,1,0,0,0,0,2
58,1,0,0,0,0,0,2
59,0,0,0,0,0,0,1
60,2,1,1,0,0,0,4
61,0,0,0,0,0,0,1
62,1,0,0,0,0,0,2
63,0,2,0,1,2,0,3
64,6,0,0,0,0,0,6
65,0,0,1,0,0,0,2
66,1,1,0,0,0,1,3
67,0,0,0,0,0,0,1
68,2,0,0,0,0,0,3
69,0,1,0,0,0,0,2
70,1,0,1,1,0,0,3
71,0,0,0,0,0,0,1
72,3,2,0,0,2,0,5
73,0,0,0,0,0,0,1
74,1,0,0,0,0,0,2
75,0,1,2,0,0,0,3
76,2,0,0,0,0,0,3
77,0,0,0,1,0,1,2
78,1,1,0,0,0,0,3
79,0,0,0,0,0,0,1
80,4,0,1,0,0,0,5
81,0,4,0,0,4,0,4
82,1,0,0,0,0,0,2
83,0,0,0,0,0,0,1
84,2,1,0,1,0,0,4
85,0,0,1,0,0,0,2
86,1,0,0,0,0,0,2
87,0,1,0,0,0,0,2
88,3,0,0,0,0,1,4
89,0,0,0,0,0,0,1
90,1,2,1,0,2,0,4
91,0,0,0,1,0,0,2
92,2,0,0,0,0,0,3
93,0,1,0,0,0,0,2
94,1,0,0,0,0,0,2
95,0,0,1,0,0,0,2
96,5,1,0,0,0,0,6
97,0,0,0,0,0,0,1
98,1,0,0,2,0,0,3
99,0,2,0,0,2,1,3
100,2,0,2,0,0,0,4
101,0,0,0,0,0,0,1
102,1,1,0,0,0,0,3
103,0,0,0,0,0,0,1
104,3,0,0,0,0,0,4
105,0,1,1,1,0,0,3
106,1,0,0,0,0,0,2
107,0,0,0,0,0,0,1
108,2,3,0,0,2,0,5
109,0,0,0,0,0,0,1
110,1,0,1,0,0,1,3
111,0,1,0,0,0,0,2
112,4,0,0,1,0,0,5
113,0,0,0,0,0,0,1
114,1,1,0,0,0,0,3
115,0,0,1,0,0,0,2
116,2,0,0,0,0,0,3
117,0,2,0,0,2,0,3
118,1,0,0,0,0,0,2
119,0,0,0,1,0,0,2
120,3,1,1,0,0,0,5
121,0,0,0,0,0,2,2
122,1,0,0,0,0,0,2
123,0,1,0,0,0,0,2
124,2,0,0,0,0,0,3
125,0,0,3,0,0,0,3
126,1,2,0,1,2,0,4
127,0,0,0,0,0,0,1
128,7,0,0,0,0,0,7
129,0,1,0,0,0,0,2
130,1,0,1,0,0,0,3
131,0,0,0,0,0,0,1
132,2,1,0,0,0,1,4
133,0,0,0,1,0,0,2
134,1,0,0,0,0,0,2
135,0,3,1,0,2,0,4
136,3,0,0,0,0,0,4
137,0,0,0,0,0,0,1
138,1,1,0,0,0,0,3
139,0,0,0,0,0,0,1
140,2,0,1,1,0,0,4
