"=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.q.lmfdb_label"", ""lmfdb_label"")","=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.q.conductor"", ""conductor"")","=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.discriminant"", ""disc"")","=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.rank"", ""rank"")","=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.regulator"", ""regulator"")","=HYPERLINK(""https://www.lmfdb.org/knowledge/show/ec.mordell_weil_group"", ""mwgens"")"
37.a1,37,37,1,0.051111408239968840235886099757,"[(0, 0)]"
43.a1,43,-43,1,0.062816507087487649265708791467,"[(0, 0)]"
53.a1,53,-53,1,0.092981484638654303348041905510,"[(0, 0)]"
57.a1,57,-171,1,0.037574592736823752824805111217,"[(2, 1)]"
58.a1,58,-116,1,0.042420307839929849766777051945,"[(0, 1)]"
61.a1,61,-61,1,0.079187731362041943636554519800,"[(1, 0)]"
77.a1,77,-539,1,0.098027979264468194506490125269,"[(2, 3)]"
79.a1,79,79,1,0.097664210108186984853745520844,"[(0, 0)]"
83.a1,83,-83,1,0.17729229411476844345760061600,"[(0, 0)]"
88.a1,88,-2816,1,0.040264364336880642943215152248,"[(2, 2)]"
89.a1,89,-89,1,0.11210488123009894942008977504,"[(0, 0)]"
91.a1,91,-91,1,0.14239215066876865918479109497,"[(0, 0)]"
91.b1,91,-524596891,1,0.11769389848990561616590596575,"[(15, 24)]"
92.a1,92,-368,1,0.049808397298064826640169093397,"[(1, 1)]"
101.a1,101,101,1,0.16470345294914935106424642677,"[(-1, 0)]"
106.a1,106,-848,1,0.068912680403558070036435803145,"[(2, 1)]"
118.a1,118,-236,1,0.087906195676299400765478046036,"[(0, 1)]"
122.a1,122,-976,1,0.12084321540837476615065314637,"[(1, 1)]"
123.a2,123,-347568603,1,0.16810428350629507735975566269,"[(16, 61)]"
123.b1,123,-123,1,0.29191452872947103200576059485,"[(1, 0)]"
124.a2,124,-476656,1,0.17351023129422475915007959768,"[(9, 31)]"
129.a1,129,-3483,1,0.099959152680293444277480065759,"[(1, 4)]"
131.a1,131,-131,1,0.21609519866774836608292549616,"[(0, 0)]"
135.a1,135,-6075,1,0.029545685247349348737171156990,"[(4, 7)]"
141.a1,141,102789,1,0.034486775017552426108673440653,"[(-3, 4)]"
141.d1,141,141,1,0.19849523646308476083368262862,"[(0, 0)]"
142.a1,142,142,1,0.18091371098437316294485921343,"[(-1, 1)]"
142.d1,142,36352,1,0.033789142638066631043127085355,"[(1, 1)]"
143.a1,143,-1859,1,0.24003383182858753651646980838,"[(4, 6)]"
148.a1,148,9472,1,0.096241179401892145659845934173,"[(-1, 2)]"
152.a1,152,-4864,1,0.065414869588411966245663222104,"[(-1, 2)]"
153.a1,153,-459,1,0.069480281083174339520653022680,"[(0, 1)]"
153.b2,153,-334611,1,0.11288973850163957158299672567,"[(5, 13)]"
155.a1,155,-143145755,1,0.30297745644134993656704708531,"[(67, 480)]"
155.c1,155,-155,1,0.18414392261756084288233764282,"[(1, 0)]"
158.a1,158,316,1,0.079168762859941286994070320201,"[(0, 1)]"
158.c1,158,20224,1,0.038990280310775717636821771363,"[(-1, 4)]"
162.a2,162,-3779136,1,0.10197829462292110456679008894,"[(10, 31)]"
163.a1,163,-163,1,0.18990923249810324080218370409,"[(1, 0)]"
166.a1,166,-1328,1,0.089956790916706929407971671786,"[(0, 2)]"
171.b3,171,-13851,1,0.22596686882569487875122626489,"[(2, 4)]"
172.a2,172,-20353792,1,0.25337988766889011954030491556,"[(10, 43)]"
175.a2,175,-875,1,0.13292599941667334079846165164,"[(2, 2)]"
175.b1,175,-213623046875,1,0.83316000421927884699261405250,"[(397, 7812)]"
176.a1,176,-340736,1,0.058354610084010663261859064456,"[(-3, 22)]"
184.a1,184,-368,1,0.12313091120187654032791633133,"[(0, 1)]"
184.b1,184,-368,1,0.10306723681163671544591271886,"[(2, 1)]"
185.a1,185,23125,1,0.11405670440845792503638925433,"[(4, 12)]"
185.b1,185,925,1,0.11027896722156539241103591219,"[(0, 2)]"
189.a1,189,1701,1,0.063212188833294331755621245029,"[(-1, 1)]"
189.b1,189,1240029,1,1.8632435522123629777793621451,"[(-143/2, -3/2)]"
190.a1,190,-950,1,0.13182148188232627560112881327,"[(1, 2)]"
190.b1,190,-972800,1,0.020568011456741253035413457001,"[(13, 33)]"
196.a1,196,784,1,0.25810635289973679058716498246,"[(7, 1)]"
197.a1,197,197,1,0.13886799176440151444816722215,"[(1, 0)]"
201.a1,201,-603,1,0.10627723755094929470674371811,"[(1, 1)]"
201.b1,201,-1809,1,0.085893479396271010539850564019,"[(-1, 2)]"
201.c1,201,-16281,1,0.43020788526273402470583043109,"[(16, -7)]"
203.b1,203,-1421,1,0.20789228685957103627216072612,"[(2, 2)]"
208.a1,208,-27262976,1,0.16628819160013979339514078435,"[(60, 128)]"
208.b1,208,-26624,1,0.078785465696304420774749267211,"[(4, 4)]"
209.a2,209,-517504691,1,0.22170578799808657543489450454,"[(2, 9)]"
212.a1,212,-13568,1,0.10950207908213807672145424770,"[(2, 2)]"
214.a1,214,-214,1,0.26044902853408521811433827675,"[(0, 0)]"
214.b1,214,-109568,1,0.16737498796602640927213632654,"[(11, 10)]"
214.c1,214,-13696,1,0.050012042515628860005807448642,"[(0, 4)]"
215.a1,215,-26875,1,0.43726120243419878937850798863,"[(6, 12)]"
216.a1,216,-62208,1,0.031242123845934808975901238705,"[(-2, 6)]"
218.a2,218,-5180116,1,0.19110484915303454175468452986,"[(36, 200)]"
219.a1,219,-219,1,0.13216065699826974019287760989,"[(2, 0)]"
219.b1,219,-1167051,1,0.41874562128458384430386292345,"[(23, 109)]"
225.a1,225,-1366875,1,0.025588090451262578988395786323,"[(-5, 22)]"
228.a1,228,-43776,1,0.074508109325755540704153066377,"[(3, 6)]"
229.a1,229,229,1,0.26259706132179216660850715702,"[(-1, 1)]"
232.a1,232,-29696,1,0.27945633653382077313725383031,"[(2, 4)]"
235.b1,235,5875,1,0.083463692302037408344885968678,"[(-2, 3)]"
236.a1,236,-944,1,0.095116125288835909617110308152,"[(1, 1)]"
242.b1,242,-495616,1,0.041190460977094580078651635181,"[(8, 12)]"
244.a1,244,-15616,1,0.14567195067143146292891324544,"[(-1, 2)]"
245.a1,245,-42875,1,0.032236886628249108260991728075,"[(7, 17)]"
245.c1,245,-1608482421875,1,0.040819755796108153836983333500,"[(40, 122)]"
248.a1,248,-496,1,0.13986589668441569298047559667,"[(0, 1)]"
248.c1,248,-496,1,0.25168911000022134794146718588,"[(1, 1)]"
249.a1,249,-2241,1,0.22146367767706245820964098374,"[(4, -3)]"
249.b1,249,-249,1,0.43245990570320664308064239703,"[(0, 1)]"
254.a1,254,1016,1,0.34954455636402320526026317465,"[(-1, 1)]"
254.b1,254,254,1,3.8820854184449827443244665719,"[(-36131/20, 361313/20)]"
258.b1,258,-8256,1,0.25232838331995380813484305493,"[(2, 3)]"
258.c1,258,-41796,1,0.033607720615963705388224047617,"[(5, 6)]"
262.a1,262,-262,1,0.21505264906731750570301122019,"[(1, 0)]"
262.b1,262,-268288,1,0.056531906359541889128696961857,"[(-2, 5)]"
269.a1,269,269,1,0.33125237239139068157174033216,"[(-1, 0)]"
273.a1,273,-361179,1,0.045515608246010630699353964046,"[(11, 31)]"
274.a1,274,-280576,1,0.47248942830583581753125509758,"[(31, -15)]"
274.c1,274,-17536,1,0.060331323954506941036319451595,"[(2, 1)]"
277.a1,277,-277,1,0.57373117908111769743420938433,"[(1, 0)]"
278.b1,278,-35584,1,0.065507389118997195270232521550,"[(2, 3)]"
280.a1,280,-274400000,1,0.011277526875600686835197464699,"[(-18, 70)]"
280.b1,280,-8960,1,0.097431715946751676889547269676,"[(1, 2)]"
286.b1,286,-12584,1,0.13421400842691073748177249590,"[(1, 5)]"
286.c1,286,-12886016,1,0.037435452744112893671471319586,"[(19, 78)]"
296.a1,296,9472,1,0.085352993466792815626652379363,"[(1, 2)]"
296.b1,296,9472,1,0.16792184153345266277340494720,"[(3, 2)]"
297.a1,297,-2381643,1,0.057892977299888693563918701268,"[(15, 49)]"
297.b1,297,-297,1,0.31469449986686363671630989825,"[(0, 0)]"
297.c1,297,-216513,1,0.34130274749451190464646763015,"[(4, 7)]"
298.a1,298,-298,1,0.41949659339271518035702576772,"[(1, 0)]"
298.b1,298,-76288,1,0.053046922886142166333125470085,"[(2, 1)]"
302.b1,302,-4832,1,0.090312672207629471653221653148,"[(1, 1)]"
302.c2,302,-628021806008,1,0.23115979442668781022543289793,"[(803, 22399)]"
303.a1,303,8181,1,0.064917595952576936035923550247,"[(0, 1)]"
303.b1,303,483079869,1,0.077105674301027139902584650490,"[(-2, 13)]"
304.a1,304,-4864,1,0.14759802505098762058285257515,"[(3, 2)]"
304.b1,304,-38912,1,0.10336644109328545272016429090,"[(0, 4)]"
304.d1,304,-20284203008,1,0.065585187950147110162385855125,"[(-30, 152)]"
308.a1,308,-137984,1,0.072891163004243372112135306710,"[(7, 14)]"
309.a1,309,-25029,1,0.071493249608129431383852014030,"[(3, 3)]"
314.a1,314,-160768,1,0.33502441412745378133984832174,"[(6, 13)]"
316.a1,316,20224,1,0.13040260200910324893156177620,"[(-1, 2)]"
318.a1,318,-77274,1,0.31514005537162255423539848751,"[(5, 11)]"
318.d1,318,-976896,1,0.032891466822091158411487759498,"[(1, 5)]"
324.a1,324,944784,1,1.1628737847128285715553189759,"[(-8, 1)]"
325.b1,325,54925,1,0.77140080508129936681718242702,"[(-4, 0)]"
325.c1,325,858203125,1,0.66297255395989127285993567262,"[(-21, 6)]"
326.b1,326,83456,1,0.77183478818614945910721767597,"[(-5, 3)]"
326.c1,326,5216,1,0.082692469998918207866536052063,"[(0, 2)]"
327.a1,327,-8829,1,0.14235921578054465842161411009,"[(1, 1)]"
331.a1,331,-331,1,0.18101729053449319425921915543,"[(1, 0)]"
333.b3,333,26973,1,0.72476986109992839437800065845,"[(-3, 0)]"
335.a1,335,-1675,1,0.17746498314400319811157509579,"[(2, 2)]"
338.a1,338,-605750213184506,1,1.3834480278188076609662078600,"[(3613/3, 180227/3)]"
338.c1,338,-2768896,1,1.1887004589488550673030416174,"[(26, 51)]"
338.d1,338,-71991296,1,0.030736550181821687635348975624,"[(5, 23)]"
339.a1,339,-3051,1,0.084451013720255125402829550137,"[(1, 1)]"
