lmfdb_label,conductor,disc,rank,regulator,mwgens,abs_disc,log_disc,tau,log_regulator
37.a1,37,37.0,1,0.0511114082399688,"[(0, 0)]",37.0,1.568201724066995,1.2839620094543296,-1.2914821521918882
43.a1,43,-43.0,1,0.0628165070874876,"[(0, 0)]",43.0,1.6334684555795864,1.3247380861805318,-1.2019262155238297
53.a1,53,-53.0,1,0.0929814846386543,"[(0, 0)]",53.0,1.724275869600789,1.3788396218579066,-1.031603523235139
57.a1,57,-171.0,1,0.0375745927368237,"[(2, 1)]",171.0,2.2329961103921536,1.6373766762290247,-1.4251057167870627
58.a1,58,-116.0,1,0.0424203078399298,"[(0, 1)]",116.0,2.0644579892269186,1.5589001622577283,-1.3724261831526288
61.a1,61,-61.0,1,0.0791877313620419,"[(1, 0)]",61.0,1.7853298350107671,1.4136356249281932,-1.1013420983481343
77.a1,77,-539.0,1,0.0980279792644681,"[(2, 3)]",539.0,2.7315887651867388,1.8389158504385763,-1.0086499493145724
79.a1,79,79.0,1,0.0976642101081869,"[(0, 0)]",79.0,1.8976270912904414,1.4746366515748413,-1.010264557639742
83.a1,83,-83.0,1,0.1772922941147684,"[(0, 0)]",83.0,1.919078092376074,1.4858773557530183,-0.7513101400490043
88.a1,88,-2816.0,1,0.0402643643368806,"[(2, 2)]",2816.0,3.4496326504700745,2.0723001924974103,-1.395079151749354
89.a1,89,-89.0,1,0.1121048812300989,"[(0, 0)]",89.0,1.9493900066449128,1.5015489517809617,-0.9503754767130378
91.a1,91,-91.0,1,0.1423921506687686,"[(0, 0)]",91.0,1.9590413923210936,1.50648771329857,-0.8465139501076232
91.b1,91,-524596891.0,1,0.1176938984899056,"[(15, 24)]",524596891.0,8.719825712435147,2.9996316958630382,-0.9292460509834087
92.a1,92,-368.0,1,0.0498083972980648,"[(1, 1)]",368.0,2.5658478186735176,1.7763214028524072,-1.3026974316138134
101.a1,101,101.0,1,0.1647034529491493,"[(-1, 0)]",101.0,2.0043213737826426,1.5293379817722996,-0.7832972956422007
106.a1,106,-848.0,1,0.068912680403558,"[(2, 1)]",848.0,2.9283958522567137,1.9084872276518074,-1.1617008569600311
118.a1,118,-236.0,1,0.0879061956762994,"[(0, 1)]",236.0,2.3729120029701067,1.698150339405538,-1.055980514043066
122.a1,122,-976.0,1,0.1208432154083747,"[(1, 1)]",976.0,2.9894498176666917,1.9291218082497654,-0.9177777271345724
123.a2,123,-347568603.0,1,0.168104283506295,"[(16, 61)]",347568603.0,8.54104053831834,2.9789152885206107,-0.7744212197974485
123.b1,123,-123.0,1,0.291914528729471,"[(1, 0)]",123.0,2.089905111439398,1.5711511089688401,-0.534744289275626
124.a2,124,-476656.0,1,0.1735102312942247,"[(9, 31)]",476656.0,5.6782050641587425,2.57066761820818,-0.7606749110342426
129.a1,129,-3483.0,1,0.0999591526802934,"[(1, 4)]",3483.0,3.541953474458236,2.098710849135043,-1.0001774334619822
131.a1,131,-131.0,1,0.2160951986677483,"[(0, 0)]",131.0,2.1172712956557644,1.5841605801847392,-0.6653548822229
135.a1,135,-6075.0,1,0.0295456852473493,"[(4, 7)]",6075.0,3.7835462822703496,2.1646941849859043,-1.5295059315898867
141.a1,141,102789.0,1,0.0344867750175524,"[(-3, 4)]",102789.0,5.011946640973354,2.4458568359707873,-1.4623474149145135
141.d1,141,141.0,1,0.1984952364630847,"[(0, 0)]",141.0,2.1492191126553797,1.599137017997089,-0.7022499108615184
142.a1,142,142.0,1,0.1809137109843731,"[(-1, 1)]",142.0,2.1522883443830563,1.60056406759735,-0.742528517592187
142.d1,142,36352.0,1,0.0337891426380666,"[(1, 1)]",36352.0,4.560528309694906,2.3514709194525354,-1.4712228265396947
143.a1,143,-1859.0,1,0.2400338318285875,"[(4, 6)]",1859.0,3.2692793897718984,2.0186020357717225,-0.6197275416867932
