degree,polynomial,mahler_measure,threading_depth
2,"(-3, -3, 1)",3.7912878474779204,1.3327057628202605
2,"(-3, -1, 1)",3.0,1.0986122886681098
2,"(-3, 0, 1)",3.0000000000000004,1.0986122886681098
2,"(-3, 1, 1)",3.0,1.0986122886681098
2,"(-3, 3, 1)",3.7912878474779204,1.3327057628202605
2,"(-2, -3, 1)",3.5615528128088303,1.2701966331368917
2,"(-2, -2, 1)",2.732050807568877,1.005052538742381
2,"(-2, 0, 1)",2.0,0.6931471805599453
2,"(-2, 2, 1)",2.732050807568877,1.005052538742381
2,"(-2, 3, 1)",3.5615528128088303,1.2701966331368917
2,"(-1, -3, 1)",3.3027756377319943,1.1947632172871092
2,"(-1, -2, 1)",2.414213562373095,0.8813735870195429
2,"(-1, -1, 1)",1.618033988749895,0.48121182505960347
2,"(-1, 1, 1)",1.618033988749895,0.48121182505960347
2,"(-1, 2, 1)",2.414213562373095,0.8813735870195429
2,"(-1, 3, 1)",3.3027756377319943,1.1947632172871092
2,"(1, -3, 1)",2.618033988749895,0.9624236501192069
2,"(1, 3, 1)",2.618033988749895,0.9624236501192069
2,"(2, -2, 1)",1.9999999999999991,0.6931471805599448
2,"(2, -1, 1)",1.9999999999999996,0.6931471805599451
2,"(2, 0, 1)",2.0000000000000004,0.6931471805599455
2,"(2, 1, 1)",1.9999999999999996,0.6931471805599451
2,"(2, 2, 1)",1.9999999999999991,0.6931471805599448
2,"(3, -3, 1)",3.0000000000000018,1.0986122886681102
2,"(3, -2, 1)",2.9999999999999996,1.0986122886681096
2,"(3, -1, 1)",2.9999999999999996,1.0986122886681096
2,"(3, 0, 1)",2.9999999999999996,1.0986122886681096
2,"(3, 1, 1)",2.9999999999999996,1.0986122886681096
2,"(3, 2, 1)",2.9999999999999996,1.0986122886681096
2,"(3, 3, 1)",3.0000000000000018,1.0986122886681102
3,"(-3, -3, -3, 1)",3.9513730355914376,1.3740631224599744
3,"(-3, -3, -2, 1)",3.2206928199873257,1.169596497899151
3,"(-3, -3, -1, 1)",3.000000000000002,1.0986122886681104
3,"(-3, -3, 0, 1)",2.999999999999999,1.0986122886681093
3,"(-3, -3, 2, 1)",3.9428200577958417,1.3718962179920684
3,"(-3, -3, 3, 1)",4.544606815316147,1.5139412146059226
3,"(-3, -2, -3, 1)",3.7473465403072126,1.32104800027148
