label,conductor,discriminant,log_disc,tau,rank,analytic_rank,h_min,torsion
synthetic_0,314,1453036932337.7966,12.162276653050029,3.332371529019013,3,3,0.06441219976704358,1
synthetic_1,29154,4.954848100885112e+19,19.695030345005232,3.814398782416286,4,4,0.03854935310421326,1
synthetic_2,164,7900260.299719658,6.897641400767596,2.765211972439643,3,3,0.056902675345434306,1
synthetic_3,292,944536175590.4507,11.975218595988341,3.316871842740609,3,3,0.019207278599612715,4
synthetic_4,48,705715064.9290771,8.8486293884356,3.014295020910777,3,3,0.07694968781805175,2
synthetic_5,30,172.05501375284518,2.2356673326585947,1.6385722115915102,2,2,0.3450524493728326,2
synthetic_6,1203,115868.46350337243,5.063965247955259,2.4561822674982063,3,3,0.19779096820565262,1
synthetic_7,15,6754.371306787487,3.8295849313447667,2.1767888695506987,2,2,0.21288670407261634,1
synthetic_8,1481,1202168114578838.8,15.07996520487856,3.547399500456308,3,3,0.05827274851581875,7
synthetic_9,6720,3.329129883387945e+18,18.522330739145346,3.7530095163934227,4,4,0.011859377132605705,4
synthetic_10,210,275168.6596472731,5.439598968381314,2.527737784350872,3,3,0.13115341083850524,8
synthetic_11,774,2472533442447.469,12.393142174393454,3.351175714417995,3,3,0.12326873853854085,2
synthetic_12,1232,261.12100598841596,2.4168418102293137,1.7164940960187107,1,1,0.3665853846330511,9
synthetic_13,99,2513644256.748346,9.400303814215786,3.0747744546628666,3,2,0.05725224081518845,1
synthetic_14,26,2504.1151250239964,3.3986542913967455,2.0574120018738884,2,2,0.24998004240866023,1
synthetic_15,266,433000.84578010906,5.636488744661161,2.563293753881767,2,2,0.11858262488281393,3
synthetic_16,869,2068776.9855226132,6.3157136761770145,2.6770732075195727,2,2,0.12313036195207115,3
synthetic_17,412,179880.58686601892,5.2549842957974935,2.4932094611418614,3,3,0.1296822978950496,1
synthetic_18,97940,6.86621587079205e+28,28.836717453330923,4.195681931954173,4,4,0.01,4
synthetic_19,5282,136199754696.90974,11.13417632538973,3.244051771545426,4,4,0.12062560574148237,2
synthetic_20,93,7928755.911710087,6.899205048217232,2.7654386398106414,3,3,0.14390338379815368,6
synthetic_21,40,20332330.917088885,7.30818716941037,2.823027695013519,3,3,0.16588912472769302,5
