label,conductor,discriminant,log_disc,tau,rank,analytic_rank,h_min,torsion
synthetic_0,314,1453036932337.7966,12.162276653050029,3.332371529019013,3,3,0.05165611237946825,1
synthetic_1,29154,4.954848100885112e+19,19.695030345005232,3.814398782416286,4,4,0.016846951360774673,1
synthetic_2,164,7900260.299719658,6.897641400767596,2.765211972439643,3,3,0.11785771525006875,1
synthetic_3,292,944536175590.4507,11.975218595988341,3.316871842740609,3,3,0.03599083969221328,1
synthetic_4,2692,1464.9474001540787,3.1658220313570644,1.98644519266851,2,2,0.2818395258264387,4
synthetic_5,576,686617957.2383198,8.836715157417041,3.0129476643138995,3,3,0.07953543744528078,3
synthetic_6,1537,9.732180775616739e+17,17.98821016736972,3.723748997842316,4,5,0.024664808616238473,3
synthetic_7,1211,5.161793273306264e+16,16.712800607325217,3.6502073744895847,4,4,0.036658928139251805,12
synthetic_8,2680,23373032.021707438,7.368715054064619,2.8312757880893122,3,3,0.10792569455188862,1
synthetic_9,62,1784299833.6540313,9.2514678349953,3.058814669047535,3,3,0.08646156179089451,9
synthetic_10,25127,20818.120546003243,4.318441518962055,2.2969270229150873,3,3,0.2070842113861307,3
synthetic_11,125,1255535.351202198,6.098828945337194,2.6421292218232066,3,3,0.16298582268394557,1
synthetic_12,6960,81024856998.97444,10.908618273217224,3.2235855893379903,3,3,0.06051371507785983,3
synthetic_13,6054,117698129744620.52,14.070769561840509,3.4781320101052837,3,2,0.035508522629404154,1
synthetic_14,44,1114037230.6020474,9.046899704998252,3.0364545702345596,3,3,0.09140491540833329,1
synthetic_15,37173,3.8883419699802265e+22,22.589764453050638,3.951529348628381,4,4,0.013285001444133764,1
synthetic_16,511,650598578212622.0,14.81331310986024,3.5295587561293873,4,4,0.026796658194189173,1
synthetic_17,30,146118067.730497,8.164703920455214,2.9338529089743473,3,3,0.08414741001561693,2
synthetic_18,77113,1294973058.428273,9.112260733129512,3.0436532852426215,3,3,0.0867540325723292,1
synthetic_19,2743,910.5247379388436,2.9592917495866082,1.9189824111650766,2,2,0.2807852521242088,1
synthetic_20,907,1112819.1007338562,6.04642457139819,2.633499562659049,3,3,0.16423098277240766,5
synthetic_21,295,19445257211.403313,10.288813692135284,3.1650897009973953,3,3,0.07020241840974759,2
synthetic_22,55,2790723.7481564134,6.445716848101245,2.697448300915805,2,2,0.14583893639126702,1
synthetic_23,5804,1.1692872070766228e+21,21.067921198183683,3.881784006506288,4,5,0.010365487035967076,4
synthetic_24,82,47346691515.310486,10.67528963683781,3.2019641362510405,3,4,0.0656605070300881,8
synthetic_25,39964,59266367895.08765,10.77280831256962,3.2110576556822634,3,3,0.05460409565050281,8
synthetic_26,13167,8615.927072729497,3.9353020143329616,2.2040200749556034,2,2,0.22783500891164613,1
synthetic_27,1566,27770052438409.48,13.443576699832734,3.4325338684378415,4,4,0.02835788429672554,2
synthetic_28,9682,7.337461714023808e+20,20.86554584816619,3.8721317198966174,4,4,0.028091703782870167,2
synthetic_29,115,385710822900.534,11.586261825176736,3.2838525160769163,3,3,0.05173532107498728,6
synthetic_30,1024,9693343751.79155,9.986473614249643,3.1352639840256273,3,3,0.06500911676065485,1
synthetic_31,3818,5.286458408747664e+19,19.72316481974114,3.815826269362141,4,3,0.018763267052186398,16
synthetic_32,20,1082.1180495806,3.0342746410708132,1.944004843195112,2,2,0.261836863432399,2
synthetic_33,23815,5873.991085437953,3.7689332830876934,2.1608244578872107,2,2,0.23179879246356389,1
synthetic_34,151,124985695469.15051,11.096860311133641,3.24069465870244,3,3,0.05217913032664935,1
synthetic_35,477,20254021496.94946,10.306511266589446,3.166808302558243,3,3,0.07414803988046301,2
synthetic_36,15,144.8771037867898,2.160999755486649,1.6046034096244564,1,1,0.3502868388519065,2
synthetic_37,41,1772998538.4487793,9.248708377595339,3.0585163521678775,3,3,0.09072685091665264,2
synthetic_38,1407,4960123082039144.0,15.695492453342457,3.587406011497075,4,4,0.023092013210545433,2
synthetic_39,6281,46080.88675767037,4.6635208278426195,2.3738031505624915,2,2,0.19947306546376925,5
synthetic_40,100,572.3634881551062,2.7576719217360317,1.8484192624077487,2,2,0.28777922347768203,9
synthetic_41,588,2104.8577600797585,3.323222752855929,2.0349674660348858,2,2,0.2867101009978591,2
synthetic_42,8320,46721912375527.98,13.669520610584257,3.449201026647916,3,3,0.0336606478833746,2
synthetic_43,82802,289.02034319049454,2.4609284123912807,1.7345711274045628,2,2,0.3178108311838421,2
synthetic_44,3972,5.491591174209773e+19,19.739698198376527,3.8166641903003735,4,4,0.016569967294715045,10
synthetic_45,1009,10309896531748.52,13.013254306804743,3.4000008453710073,3,4,0.042647198894090015,3
synthetic_46,57666,2347086787721.3335,12.37052914870878,3.3493494075126162,3,3,0.06768171137366755,12
synthetic_47,350,698262766780188.6,14.84401888492657,3.5316294606717555,4,4,0.022744334640142572,2
synthetic_48,23960,9.91349853447673e+20,20.99622694672389,3.8783751976253096,4,4,0.01070249284207954,8
synthetic_49,8715,188306304.82725918,8.274864861205451,2.9472550354055795,3,3,0.09508625765117659,16
synthetic_50,447,3934043068621.7324,12.59483911012383,3.3673195808640584,3,3,0.042584771743181205,2
synthetic_51,10080,21055.48196950423,4.323365187067157,2.2980665227454717,2,2,0.22742636913969627,2
synthetic_52,38202,187.87864662459302,2.273877423101651,1.6555189354742161,2,1,0.3219051682865983,2
synthetic_53,21,120927.19579464439,5.0825239820463475,2.4598404303103307,2,3,0.19124309076438176,6
synthetic_54,23,226.212371974057,2.354516353609457,1.6903677816078115,1,1,0.3359483765377507,2
synthetic_55,29,4121328.347922793,6.615037216322786,2.7233778688493566,3,3,0.1429500004847774,5
synthetic_56,19,2889326.512077384,6.460796622626786,2.699785071635746,3,2,0.1399600896989024,3
synthetic_57,251,148687932.98343018,8.172275724060892,2.9347798617297043,3,3,0.09542435174144023,2
synthetic_58,546,44124099.63696232,7.644675856601241,2.8680418843319644,3,3,0.12003882245047812,7
synthetic_59,9480,18970964.86250197,7.278089419650085,2.8189008306567716,3,3,0.09913451652561797,3
synthetic_60,556,5.514767183963719e+16,16.74152718262315,3.651924735695504,3,3,0.026120885249277026,10
synthetic_61,47474,5.997736347386131e+19,19.777987370827976,3.818602015549084,4,4,0.011525912038193264,2
synthetic_62,8879,3.896212309166404e+23,23.590642614065718,3.994882579248852,4,4,0.01,2
synthetic_63,47,170935.70331338362,5.232832783215374,2.4889852178403333,2,2,0.1744387237711451,1
synthetic_64,650,795232.5759821086,5.900494162233695,2.6090685489630614,3,3,0.14623580422310695,1
synthetic_65,20,61117.683361850126,4.786166884143668,2.399762303358077,3,3,0.2010934400754307,8
synthetic_66,1608,650761367.0619204,8.813421762811473,3.010308205114902,3,2,0.10742586137042277,3
synthetic_67,333,71186541946887.48,13.8523978965771,3.462490796222325,3,3,0.04742134340500285,1
synthetic_68,16,6920643.070505611,6.840146451248106,2.756841587654388,3,4,0.13769754326945927,2
synthetic_69,92,20486.34530474623,4.311464488633008,2.2953100801944992,2,2,0.2119054352827815,6
synthetic_70,15,126.44868592186955,2.1019143204352972,1.5768809558992227,1,1,0.3313666013899552,2
synthetic_71,18430,14742.600983667926,4.1685741112844745,2.2616064828440083,2,2,0.23811351543620649,2
synthetic_72,13761,4.0279452063237046e+20,20.605083554048136,3.8595702650680366,4,5,0.01761787187038666,3
synthetic_73,370,102562579122016.62,14.010988933434263,3.4738743907883523,4,4,0.016105618704198302,4
synthetic_74,28148,581369.9679195088,5.7644525934755,2.5857426410305204,3,3,0.17338822071258053,2
synthetic_75,83201,110317458162.12033,11.042644246651454,3.2357969725129845,3,3,0.06677945449412317,1
synthetic_76,32,757.5812551828847,2.8794292203888943,1.891624532389132,2,2,0.29262821492077157,8
synthetic_77,786,50902.645583673184,4.706740354685136,2.3830280446169625,2,2,0.19471895416636467,1
synthetic_78,30,2510.884663698504,3.3998267640591138,2.057756923824668,2,2,0.23757804751109318,1
synthetic_79,15763,8252.115649617626,3.916565305781824,2.199247517460284,2,2,0.23361515146140244,5
synthetic_80,54,78437.04322657124,4.894521214080562,2.4221489052271035,3,3,0.1923686641653417,2
synthetic_81,9769,20152223.84877686,7.304322978614145,2.82249880697893,3,3,0.12621770855793196,3
synthetic_82,26,251525.90740960694,5.400582724443867,2.52053930493016,2,2,0.16834144026746495,1
synthetic_83,194,448228.34968254657,5.651499321456797,2.5659533218323305,3,3,0.17786505560756108,2
synthetic_84,22,395004.473529374,5.596602014153347,2.5561920756347356,2,2,0.18665917826859957,1
synthetic_85,283,2639825455.5029073,9.42157521239334,3.0770347398558147,3,3,0.08763439094650799,1
synthetic_86,96,5238.576470874369,3.7192132879693354,2.1475446094389237,2,2,0.23947468799464539,1
synthetic_87,1253,1.316314344638719e+18,18.119359614080363,3.731013403851974,4,4,0.012565186479504482,7
synthetic_88,107,231312027.3488518,8.364198215024995,2.957992925125716,3,3,0.10796469125370073,1
synthetic_89,11966,1174170469.938085,9.069731153793128,3.038975067678042,3,3,0.060322662636570865,1
synthetic_90,2770,3955637305755.9316,12.597216464085415,3.3675083192511774,3,3,0.03247619259922859,1
synthetic_91,222,523.7360202598767,2.719112443792925,1.8343379648769367,2,2,0.3043433365657781,6
synthetic_92,2412,3242755156.705556,9.510914158631046,3.0864724432244595,3,3,0.07858045625250146,12
synthetic_93,31,897457206.2176846,8.953013749120426,3.0260226525986087,3,3,0.10552056838373239,1
synthetic_94,15172,479228.0529172806,5.680542232733885,2.5710791369341517,3,3,0.16389935654946233,3
synthetic_95,272,17529871.35973945,7.243778729102335,2.8141754393998326,3,3,0.13755422809375586,2
synthetic_96,160,77956464.22766432,7.891852133149054,2.8998632969364286,3,3,0.10778948715037018,3
synthetic_97,42256,109595.82414727226,5.039794006845917,2.451397654838408,2,2,0.19579157881201126,1
synthetic_98,15000,267842396733898.88,14.42787932252751,3.503194844137795,4,4,0.033861757032421655,2
synthetic_99,98,223.8305219092653,2.3499193073619424,1.6884134355216946,2,2,0.32254525019289026,2
synthetic_100,19276,2.5722101027473064e+21,21.41030643965541,3.897904860668903,4,4,0.010546498530190468,1
synthetic_101,7744,9125613952847560.0,15.960262092565692,3.604134458974737,4,4,0.04215353907916563,2
synthetic_102,53,22149309.309497423,7.345360187996973,2.828101292200647,3,4,0.0988924489354321,9
synthetic_103,36,4722.685735185166,3.6741890469919247,2.135364886076913,2,2,0.26269859628069986,9
synthetic_104,14465,2.1640177237559492e+16,16.335260813411374,3.6273584567123303,4,4,0.034780464819311345,1
synthetic_105,26,339058897.2854175,8.530275145236438,2.9776540624137904,3,3,0.09259738761045082,1
synthetic_106,22385,2518677261.5032783,9.401172521397285,3.0748668630638463,3,3,0.06873925377603146,5
synthetic_107,66,53831186.50432684,7.731033952295774,2.8792750572848087,3,3,0.10395179259751411,10
synthetic_108,729,8009465991074823.0,15.903603561669689,3.6005781678941036,4,5,0.024467769963143794,1
synthetic_109,985,2.8389905762948972e+16,16.4531639509373,3.634550241407859,4,4,0.01361512982568699,4
synthetic_110,51,2306.081904248441,3.362874727907276,2.0468286272103757,2,1,0.2606136692508876,1
synthetic_111,173,6163319.615302335,6.789814689808067,2.7494560948125684,3,3,0.14716781593725575,4
synthetic_112,324,11735389427.443745,10.06949750581222,3.143543250615422,3,3,0.06241157802716352,3
synthetic_113,840,78236012150874.47,13.893406705468088,3.465446835114762,3,3,0.027610413934435855,6
synthetic_114,122,90613440.72418992,7.957192621511335,2.908108697156223,3,3,0.08686696580542623,1
synthetic_115,1052,34486613.572416574,7.5376505507310085,2.853942980664777,3,3,0.11944076088066671,5
synthetic_116,16644,4.5784150032441784e+16,16.660715156064644,3.6470860075998277,3,3,0.0130901354033741,5
synthetic_117,24689,4.83708758167219e+22,22.68458395091804,3.9557180179231852,4,3,0.0160181229305362,2
synthetic_118,109,78247691.5345778,7.893471533840428,2.900068474952568,3,3,0.09581607961676473,3
synthetic_119,555,2139028921565707.5,15.330216656657306,3.5638582708861684,3,3,0.03038212432893505,2
synthetic_120,37862,12157992088388.123,13.084861856438577,3.4054884237756786,4,4,0.047326201723508245,1
synthetic_121,21863,1399482427161523.2,15.145967449544091,3.5517667668249104,3,3,0.01955742741173792,9
synthetic_122,29,7915.819343233191,3.8984958740724798,2.194623250677727,2,2,0.24381983436748322,1
synthetic_123,11,147904.1271925483,5.169980292941727,2.4769013219509177,3,3,0.19523911249473225,4
synthetic_124,50,600367.7143768354,5.77841732939903,2.5881622719940527,3,3,0.14128427793743953,1
synthetic_125,8956,391543246089532.2,14.592779737021793,3.5145593130775703,3,3,0.016335590051707247,2
synthetic_126,7519,64597939814237.03,13.810218667506293,3.4594412465413593,4,3,0.03228241456347779,2
synthetic_127,120,5128.846596296982,3.710019709520413,2.145069634392383,2,1,0.24768559537263043,2
synthetic_128,12124,4281.760247140683,3.6316223457564325,2.1237119208881277,2,2,0.2667856846155397,2
synthetic_129,96,26261151327.67803,10.419313762282652,3.1776936216580736,3,3,0.07701122441566452,2
synthetic_130,23,908.685737495756,2.958413711528361,1.918685661666319,2,2,0.28963000661721755,3
synthetic_131,31030,3.1540228497924675e+22,22.498864835315914,3.94749730142186,4,4,0.01729115815148119,1
synthetic_132,907,1.0017596608208008e+17,17.00076353939616,3.667290702377692,4,4,0.02123000479796149,3
synthetic_133,45914,2.9046816119304876e+19,19.46309853543214,3.802552735200821,4,5,0.011698567495518248,5
synthetic_134,16,48162.0921310474,4.682705344139189,2.3779084531493133,3,3,0.21655849049497206,3
synthetic_135,839,44666948881.311356,10.649986287612512,3.19959104985444,3,3,0.051943096493228834,7
synthetic_136,1424,529490365489150.94,14.723858062171615,3.5235016208222882,3,3,0.03694250133211788,2
synthetic_137,704,100.88255710950114,2.003816081936072,1.529085848777945,1,0,0.3285333409802957,16
synthetic_138,252,15925875.588028083,7.202103318721397,2.8084055562092,3,3,0.12191525768729887,16
synthetic_139,11832,242804299057.0276,11.385256372025195,3.2663516629137415,3,3,0.06419643849892445,2
synthetic_140,140,27908.04132585764,4.445729357405094,2.325976385658901,2,2,0.21539755310925682,4
synthetic_141,74,8997579654.839474,9.954125700115625,3.132019553705411,3,3,0.0657829785246972,12
synthetic_142,740,37964.15955339828,4.5793737899544436,2.355594706941867,2,2,0.21258579035117448,3
synthetic_143,83,9019.176521197795,3.955166886918246,2.2090552420168343,2,2,0.2278558522214087,1
synthetic_144,75233,1.0027806532815057e+28,28.001205946492664,4.16628002401329,4,4,0.01,1
synthetic_145,18337,14264694.340266984,7.1542624701566,2.8017407739994993,3,3,0.13607979803019843,1
synthetic_146,32347,153037.67286092608,5.184798353050717,2.4797633957297447,3,3,0.1882303330343615,3
synthetic_147,22,15424.787943910826,4.188219202175462,2.2663080774250814,2,2,0.21434039874381025,1
synthetic_148,75,539.6867166407162,2.732141728866339,1.8391182629412026,2,2,0.30788380723896724,3
synthetic_149,19894,8.418025453400595e+17,17.925210234580774,3.720240560232826,3,3,0.02066541612271633,6
synthetic_150,4303,6.064842063111717e+19,19.78281949571996,3.818846304040586,4,4,0.01630330808411526,4
synthetic_151,2981,117290.64379276006,5.069263370075998,2.4572279603969323,2,2,0.18069469558168358,1
synthetic_152,18701,213383422019549.34,14.32916067560813,3.4963291142357735,4,4,0.03244398419009173,1
synthetic_153,3435,1.1156581938026115e+17,17.047531159402013,3.670037838457872,4,4,0.014968221599418748,12
synthetic_154,233,41861229273983.29,13.621811977444354,3.445704775112062,3,3,0.038569389158067846,5
synthetic_155,18,9335.58578939284,3.9701415742528523,2.2128342003320856,2,2,0.23469093701313937,16
synthetic_156,75077,407566.26753690955,5.610198232182242,2.5586184996631323,3,3,0.16973617836670124,2
synthetic_157,124,8402931.218924746,6.924430808698093,2.7690883002534656,3,3,0.130636657324384,4
synthetic_158,76,56231103.085270636,7.749976603145668,2.8817222696597082,3,4,0.12174023201547618,1
synthetic_159,8415,1.5087189074536072e+21,21.178608333007332,3.8870240766055617,4,4,0.010417571236956103,5
synthetic_160,63,652923815.2818577,8.814862509708563,3.0104716636657205,3,3,0.11776995525271179,1
synthetic_161,65,1731.6274330252015,3.238454457435121,2.0091286419321404,2,2,0.24378259172396544,6
synthetic_162,150,31206588961631.67,13.4942463006711,3.4362958398930377,3,3,0.024123381970634475,3
synthetic_163,2686,1231284415841.1106,12.090358382714598,3.326440752339748,3,3,0.044496653507445846,2
synthetic_164,2296,5.6252819618265784e+19,19.750144295920535,3.817193242690956,4,4,0.011368788072503523,16
synthetic_165,7718,2.409920613902342e+18,18.38200273655329,3.74540451905522,4,4,0.02315401389615262,1
synthetic_166,1921,11847661017.8473,10.073632619771724,3.14395382374798,3,3,0.060895431346321416,12
synthetic_167,19,11658161.113393338,7.066630052885484,2.78941615704894,3,4,0.11777672882796492,4
synthetic_168,15934,613045.7409523532,5.787492879578927,2.589731634349215,3,3,0.15670898425762617,1
synthetic_169,55571,6959666306599562.0,15.842588417099549,3.5967342284546744,4,4,0.027854475340003362,7
synthetic_170,227,1053.7328910143285,3.022730536246427,1.9401930192113377,2,2,0.2894484386995734,2
synthetic_171,3752,1.8399761003308264e+16,16.264812181943313,3.623036457731457,4,4,0.017219286757399574,1
